"성별","연령(5세)별","교육정도별",2019
"계","계","계",295110
"계","계","불취학",55509
"계","계","초등학교",85654
"계","계","중고등학교",101105
"계","계","중학교",38386
"계","계","고등학교",62719
"계","계","대학이상",37586
"계","계","대학(교)",32717
"계","계","대학원 이상",4869
"계","계","미상",15256
"계","14세이하","계",1417
"계","14세이하","불취학",1233
"계","14세이하","초등학교",107
"계","14세이하","중고등학교",0
"계","14세이하","중학교",0
"계","14세이하","고등학교",0
"계","14세이하","대학이상",0
"계","14세이하","대학(교)",0
"계","14세이하","대학원 이상",0
"계","14세이하","미상",77
"계","15 - 19세","계",610
"계","15 - 19세","불취학",15
"계","15 - 19세","초등학교",26
"계","15 - 19세","중고등학교",533
"계","15 - 19세","중학교",252
"계","15 - 19세","고등학교",281
"계","15 - 19세","대학이상",5
"계","15 - 19세","대학(교)",5
"계","15 - 19세","대학원 이상",0
"계","15 - 19세","미상",31
"계","20 - 24세","계",1126
"계","20 - 24세","불취학",25
"계","20 - 24세","초등학교",15
"계","20 - 24세","중고등학교",658
"계","20 - 24세","중학교",65
"계","20 - 24세","고등학교",593
"계","20 - 24세","대학이상",381
"계","20 - 24세","대학(교)",374
"계","20 - 24세","대학원 이상",7
"계","20 - 24세","미상",47
"계","25 - 29세","계",1435
"계","25 - 29세","불취학",32
"계","25 - 29세","초등학교",10
"계","25 - 29세","중고등학교",607
"계","25 - 29세","중학교",64
"계","25 - 29세","고등학교",543
"계","25 - 29세","대학이상",719
"계","25 - 29세","대학(교)",689
"계","25 - 29세","대학원 이상",30
"계","25 - 29세","미상",67
"계","30 - 34세","계",1788
"계","30 - 34세","불취학",24
"계","30 - 34세","초등학교",27
"계","30 - 34세","중고등학교",690
"계","30 - 34세","중학교",95
"계","30 - 34세","고등학교",595
"계","30 - 34세","대학이상",936
"계","30 - 34세","대학(교)",874
"계","30 - 34세","대학원 이상",62
"계","30 - 34세","미상",111
"계","35 - 39세","계",3117
"계","35 - 39세","불취학",36
"계","35 - 39세","초등학교",51
"계","35 - 39세","중고등학교",1435
"계","35 - 39세","중학교",244
"계","35 - 39세","고등학교",1191
"계","35 - 39세","대학이상",1418
"계","35 - 39세","대학(교)",1290
"계","35 - 39세","대학원 이상",128
"계","35 - 39세","미상",177
"계","40 - 44세","계",4219
"계","40 - 44세","불취학",52
"계","40 - 44세","초등학교",92
"계","40 - 44세","중고등학교",2271
"계","40 - 44세","중학교",332
"계","40 - 44세","고등학교",1939
"계","40 - 44세","대학이상",1585
"계","40 - 44세","대학(교)",1408
"계","40 - 44세","대학원 이상",177
"계","40 - 44세","미상",219
"계","45 - 49세","계",7701
"계","45 - 49세","불취학",105
"계","45 - 49세","초등학교",240
"계","45 - 49세","중고등학교",4587
"계","45 - 49세","중학교",790
"계","45 - 49세","고등학교",3797
"계","45 - 49세","대학이상",2279
"계","45 - 49세","대학(교)",2018
"계","45 - 49세","대학원 이상",261
"계","45 - 49세","미상",490
"계","50 - 54세","계",11096
"계","50 - 54세","불취학",226
"계","50 - 54세","초등학교",679
"계","50 - 54세","중고등학교",6582
"계","50 - 54세","중학교",1525
"계","50 - 54세","고등학교",5057
"계","50 - 54세","대학이상",2957
"계","50 - 54세","대학(교)",2684
"계","50 - 54세","대학원 이상",273
"계","50 - 54세","미상",652
"계","55 - 59세","계",16195
"계","55 - 59세","불취학",454
"계","55 - 59세","초등학교",2236
"계","55 - 59세","중고등학교",8905
"계","55 - 59세","중학교",2720
"계","55 - 59세","고등학교",6185
"계","55 - 59세","대학이상",3506
"계","55 - 59세","대학(교)",3084
"계","55 - 59세","대학원 이상",422
"계","55 - 59세","미상",1094
"계","60 - 64세","계",19261
"계","60 - 64세","불취학",750
"계","60 - 64세","초등학교",4089
"계","60 - 64세","중고등학교",10112
"계","60 - 64세","중학교",3711
"계","60 - 64세","고등학교",6401
"계","60 - 64세","대학이상",3046
