"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2019
"총계","소계",총계,164059
"총계","소계",남자,28771
"총계","소계",여자,135288
"서울특별시","소계",총계,28100
"서울특별시","소계",남자,7572
"서울특별시","소계",여자,20528
"서울특별시","강남구",총계,719
"서울특별시","강남구",남자,199
"서울특별시","강남구",여자,520
"서울특별시","강동구",총계,874
"서울특별시","강동구",남자,147
"서울특별시","강동구",여자,727
"서울특별시","강북구",총계,901
"서울특별시","강북구",남자,124
"서울특별시","강북구",여자,777
"서울특별시","강서구",총계,1628
"서울특별시","강서구",남자,350
"서울특별시","강서구",여자,1278
"서울특별시","관악구",총계,1583
"서울특별시","관악구",남자,442
"서울특별시","관악구",여자,1141
"서울특별시","광진구",총계,1059
"서울특별시","광진구",남자,225
"서울특별시","광진구",여자,834
"서울특별시","구로구",총계,2523
"서울특별시","구로구",남자,950
"서울특별시","구로구",여자,1573
"서울특별시","금천구",총계,1633
"서울특별시","금천구",남자,557
"서울특별시","금천구",여자,1076
"서울특별시","노원구",총계,946
"서울특별시","노원구",남자,189
"서울특별시","노원구",여자,757
"서울특별시","도봉구",총계,689
"서울특별시","도봉구",남자,113
"서울특별시","도봉구",여자,576
"서울특별시","동대문구",총계,1134
"서울특별시","동대문구",남자,255
"서울특별시","동대문구",여자,879
"서울특별시","동작구",총계,923
"서울특별시","동작구",남자,249
"서울특별시","동작구",여자,674
"서울특별시","마포구",총계,993
"서울특별시","마포구",남자,270
"서울특별시","마포구",여자,723
"서울특별시","서대문구",총계,810
"서울특별시","서대문구",남자,196
"서울특별시","서대문구",여자,614
"서울특별시","서초구",총계,676
"서울특별시","서초구",남자,232
"서울특별시","서초구",여자,444
"서울특별시","성동구",총계,932
"서울특별시","성동구",남자,251
"서울특별시","성동구",여자,681
"서울특별시","성북구",총계,1035
"서울특별시","성북구",남자,210
"서울특별시","성북구",여자,825
"서울특별시","송파구",총계,1264
"서울특별시","송파구",남자,304
"서울특별시","송파구",여자,960
"서울특별시","양천구",총계,987
"서울특별시","양천구",남자,208
"서울특별시","양천구",여자,779
"서울특별시","영등포구",총계,2159
"서울특별시","영등포구",남자,815
"서울특별시","영등포구",여자,1344
"서울특별시","용산구",총계,1104
"서울특별시","용산구",남자,508
"서울특별시","용산구",여자,596
"서울특별시","은평구",총계,1283
"서울특별시","은평구",남자,267
"서울특별시","은평구",여자,1016
"서울특별시","종로구",총계,573
"서울특별시","종로구",남자,181
"서울특별시","종로구",여자,392
"서울특별시","중구",총계,574
"서울특별시","중구",남자,163
"서울특별시","중구",여자,411
"서울특별시","중랑구",총계,1098
"서울특별시","중랑구",남자,167
"서울특별시","중랑구",여자,931
"부산광역시","소계",총계,7455
"부산광역시","소계",남자,1189
"부산광역시","소계",여자,6266
"부산광역시","강서구",총계,389
"부산광역시","강서구",남자,73
"부산광역시","강서구",여자,316
"부산광역시","금정구",총계,433
"부산광역시","금정구",남자,55
"부산광역시","금정구",여자,378
"부산광역시","기장군",총계,409
"부산광역시","기장군",남자,70
"부산광역시","기장군",여자,339
"부산광역시","남구",총계,505
"부산광역시","남구",남자,93
"부산광역시","남구",여자,412
"부산광역시","동구",총계,244
"부산광역시","동구",남자,23
"부산광역시","동구",여자,221
"부산광역시","동래구",총계,380
"부산광역시","동래구",남자,44
"부산광역시","동래구",여자,336
"부산광역시","부산진구",총계,707
"부산광역시","부산진구",남자,84
"부산광역시","부산진구",여자,623
"부산광역시","북구",총계,506
"부산광역시","북구",남자,44
"부산광역시","북구",여자,462
"부산광역시","사상구",총계,768
"부산광역시","사상구",남자,106
"부산광역시","사상구",여자,662
"부산광역시","사하구",총계,869
"부산광역시","사하구",남자,103
"부산광역시","사하구",여자,766
"부산광역시","서구",총계,222
"부산광역시","서구",남자,27
"부산광역시","서구",여자,195
"부산광역시","수영구",총계,400
"부산광역시","수영구",남자,115
"부산광역시","수영구",여자,285
"부산광역시","연제구",총계,344
"부산광역시","연제구",남자,54
"부산광역시","연제구",여자,290
"부산광역시","영도구",총계,287
"부산광역시","영도구",남자,31
"부산광역시","영도구",여자,256
"부산광역시","중구",총계,145
"부산광역시","중구",남자,12
"부산광역시","중구",여자,133
"부산광역시","해운대구",총계,847
"부산광역시","해운대구",남자,255
"부산광역시","해운대구",여자,592
"대구광역시","소계",총계,5628
"대구광역시","소계",남자,845
"대구광역시","소계",여자,4783
"대구광역시","남구",총계,302
"대구광역시","남구",남자,40
"대구광역시","남구",여자,262
"대구광역시","달서구",총계,1465
"대구광역시","달서구",남자,240
"대구광역시","달서구",여자,1225
"대구광역시","달성군",총계,931
"대구광역시","달성군",남자,166
"대구광역시","달성군",여자,765
"대구광역시","동구",총계,777
"대구광역시","동구",남자,92
"대구광역시","동구",여자,685
"대구광역시","북구",총계,890
"대구광역시","북구",남자,92
"대구광역시","북구",여자,798
"대구광역시","서구",총계,656
"대구광역시","서구",남자,95
"대구광역시","서구",여자,561
"대구광역시","수성구",총계,473
"대구광역시","수성구",남자,100
"대구광역시","수성구",여자,373
"대구광역시","중구",총계,134
"대구광역시","중구",남자,20
"대구광역시","중구",여자,114
"인천광역시","소계",총계,10977
"인천광역시","소계",남자,2285
"인천광역시","소계",여자,8692
"인천광역시","강화군",총계,159
"인천광역시","강화군",남자,14
"인천광역시","강화군",여자,145
"인천광역시","계양구",총계,905
"인천광역시","계양구",남자,138
"인천광역시","계양구",여자,767
"인천광역시","남동구",총계,1928
"인천광역시","남동구",남자,432
"인천광역시","남동구",여자,1496
"인천광역시","동구",총계,194
"인천광역시","동구",남자,26
"인천광역시","동구",여자,168
"인천광역시","미추홀구",총계,1555
"인천광역시","미추홀구",남자,265
"인천광역시","미추홀구",여자,1290
"인천광역시","부평구",총계,2418
"인천광역시","부평구",남자,652
"인천광역시","부평구",여자,1766
"인천광역시","서구",총계,1974
"인천광역시","서구",남자,379
"인천광역시","서구",여자,1595
"인천광역시","연수구",총계,1121
"인천광역시","연수구",남자,278
"인천광역시","연수구",여자,843
"인천광역시","옹진군",총계,39
"인천광역시","옹진군",남자,2
"인천광역시","옹진군",여자,37
"인천광역시","중구",총계,684
"인천광역시","중구",남자,99
"인천광역시","중구",여자,585
"광주광역시","소계",총계,3656
"광주광역시","소계",남자,478
"광주광역시","소계",여자,3178
"광주광역시","광산구",총계,1608
"광주광역시","광산구",남자,258
"광주광역시","광산구",여자,1350
"광주광역시","남구",총계,407
"광주광역시","남구",남자,46
"광주광역시","남구",여자,361
"광주광역시","동구",총계,154
"광주광역시","동구",남자,20
"광주광역시","동구",여자,134
"광주광역시","북구",총계,992
"광주광역시","북구",남자,108
"광주광역시","북구",여자,884
"광주광역시","서구",총계,495
"광주광역시","서구",남자,46
"광주광역시","서구",여자,449
"대전광역시","소계",총계,3459
