"행정구역별","성별","경제활동상태별","항목","단위","2015 년",
"전국","계","계","15세 이상 인구-계","","42511505",
"전국","계","계","제약없음-계","","39159424",
"전국","계","계","제약있음-계","","3352081",
"전국","계","계","시각장애","","242915",
"전국","계","계","청각장애","","398045",
"전국","계","계","언어장애","","165292",
"전국","계","계","치매","","263087",
"전국","계","계","뇌졸중(중풍)","","303095",
"전국","계","계","걷기, 계단 오르기, 들고 운반하기","","2394287",
"전국","계","계","지적·자폐성 장애","","176973",
"전국","계","계","정신적 질환 등 정신적제약","","313167",
"전국","계","일하였음","15세 이상 인구-계","","23870022",
"전국","계","일하였음","제약없음-계","","23210791",
"전국","계","일하였음","제약있음-계","","659231",
"전국","계","일하였음","시각장애","","65243",
"전국","계","일하였음","청각장애","","84930",
"전국","계","일하였음","언어장애","","20080",
"전국","계","일하였음","치매","","5242",
"전국","계","일하였음","뇌졸중(중풍)","","28073",
"전국","계","일하였음","걷기, 계단 오르기, 들고 운반하기","","449521",
"전국","계","일하였음","지적·자폐성 장애","","28752",
"전국","계","일하였음","정신적 질환 등 정신적제약","","41292",
"전국","계","일하지 않았음","15세 이상 인구-계","","18641483",
"전국","계","일하지 않았음","제약없음-계","","15948633",
"전국","계","일하지 않았음","제약있음-계","","2692850",
"전국","계","일하지 않았음","시각장애","","177672",
"전국","계","일하지 않았음","청각장애","","313115",
"전국","계","일하지 않았음","언어장애","","145212",
"전국","계","일하지 않았음","치매","","257845",
"전국","계","일하지 않았음","뇌졸중(중풍)","","275022",
"전국","계","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","1944766",
"전국","계","일하지 않았음","지적·자폐성 장애","","148221",
"전국","계","일하지 않았음","정신적 질환 등 정신적제약","","271875",
"전국","남자","계","15세 이상 인구-계","","20804530",
"전국","남자","계","제약없음-계","","19450777",
"전국","남자","계","제약있음-계","","1353753",
"전국","남자","계","시각장애","","120867",
"전국","남자","계","청각장애","","185072",
"전국","남자","계","언어장애","","83311",
"전국","남자","계","치매","","71614",
"전국","남자","계","뇌졸중(중풍)","","154938",
"전국","남자","계","걷기, 계단 오르기, 들고 운반하기","","841607",
"전국","남자","계","지적·자폐성 장애","","105196",
"전국","남자","계","정신적 질환 등 정신적제약","","149855",
"전국","남자","일하였음","15세 이상 인구-계","","14044168",
"전국","남자","일하였음","제약없음-계","","13673424",
"전국","남자","일하였음","제약있음-계","","370744",
"전국","남자","일하였음","시각장애","","45484",
"전국","남자","일하였음","청각장애","","59043",
"전국","남자","일하였음","언어장애","","14066",
"전국","남자","일하였음","치매","","2670",
"전국","남자","일하였음","뇌졸중(중풍)","","20988",
"전국","남자","일하였음","걷기, 계단 오르기, 들고 운반하기","","223269",
