"행정구역별(시군구)","성별","경제활동별","항목","단위","2015 년",
"전국","계","계","60세 이상-계","","9317849",
"전국","계","계","60~64세","","2763018",
"전국","계","계","65~69세","","2113369",
"전국","계","계","70~74세","","1761016",
"전국","계","계","75~79세","","1351698",
"전국","계","계","80~84세","","806303",
"전국","계","계","85세 이상","","522445",
"전국","계","일하였음","60세 이상-계","","2964585",
"전국","계","일하였음","60~64세","","1420793",
"전국","계","일하였음","65~69세","","765735",
"전국","계","일하였음","70~74세","","444224",
"전국","계","일하였음","75~79세","","237329",
"전국","계","일하였음","80~84세","","78673",
"전국","계","일하였음","85세 이상","","17831",
"전국","계","일하지않았음","60세 이상-계","","6353264",
"전국","계","일하지않았음","60~64세","","1342225",
"전국","계","일하지않았음","65~69세","","1347634",
"전국","계","일하지않았음","70~74세","","1316792",
"전국","계","일하지않았음","75~79세","","1114369",
"전국","계","일하지않았음","80~84세","","727630",
"전국","계","일하지않았음","85세 이상","","504614",
"전국","남자","계","60세 이상-계","","4104936",
"전국","남자","계","60~64세","","1349076",
"전국","남자","계","65~69세","","1012383",
"전국","남자","계","70~74세","","790808",
"전국","남자","계","75~79세","","547917",
"전국","남자","계","80~84세","","273130",
"전국","남자","계","85세 이상","","131622",
"전국","남자","일하였음","60세 이상-계","","1847205",
"전국","남자","일하였음","60~64세","","905608",
"전국","남자","일하였음","65~69세","","496564",
"전국","남자","일하였음","70~74세","","263968",
"전국","남자","일하였음","75~79세","","130757",
"전국","남자","일하였음","80~84세","","41463",
"전국","남자","일하였음","85세 이상","","8845",
"전국","남자","일하지않았음","60세 이상-계","","2257731",
"전국","남자","일하지않았음","60~64세","","443468",
"전국","남자","일하지않았음","65~69세","","515819",
"전국","남자","일하지않았음","70~74세","","526840",
"전국","남자","일하지않았음","75~79세","","417160",
"전국","남자","일하지않았음","80~84세","","231667",
"전국","남자","일하지않았음","85세 이상","","122777",
"전국","여자","계","60세 이상-계","","5212913",
"전국","여자","계","60~64세","","1413942",
"전국","여자","계","65~69세","","1100986",
"전국","여자","계","70~74세","","970208",
"전국","여자","계","75~79세","","803781",
"전국","여자","계","80~84세","","533173",
"전국","여자","계","85세 이상","","390823",
"전국","여자","일하였음","60세 이상-계","","1117380",
"전국","여자","일하였음","60~64세","","515185",
"전국","여자","일하였음","65~69세","","269171",
"전국","여자","일하였음","70~74세","","180256",
"전국","여자","일하였음","75~79세","","106572",
"전국","여자","일하였음","80~84세","","37210",
"전국","여자","일하였음","85세 이상","","8986",
"전국","여자","일하지않았음","60세 이상-계","","4095533",
"전국","여자","일하지않았음","60~64세","","898757",
"전국","여자","일하지않았음","65~69세","","831815",
"전국","여자","일하지않았음","70~74세","","789952",
"전국","여자","일하지않았음","75~79세","","697209",
