"행정구역별","성별","연령별","항목","단위","2015 년",
"전국","계","합계","내국인(60세 이상)-계","","9298013",
"전국","계","합계","초등학교","","2921062",
"전국","계","합계","중학교","","1723192",
"전국","계","합계","고등학교","","2232210",
"전국","계","합계","대학(4년제 미만)","","216142",
"전국","계","합계","대학교(4년제 이상)","","775439",
"전국","계","합계","대학원 이상","","197675",
"전국","계","합계","안 받았음(미취학 포함)","","1232293",
"전국","계","60~64","내국인(60세 이상)-계","","2753215",
"전국","계","60~64","초등학교","","588587",
"전국","계","60~64","중학교","","644867",
"전국","계","60~64","고등학교","","978152",
"전국","계","60~64","대학(4년제 미만)","","104272",
"전국","계","60~64","대학교(4년제 이상)","","291745",
"전국","계","60~64","대학원 이상","","94374",
"전국","계","60~64","안 받았음(미취학 포함)","","51218",
"전국","계","65~69","내국인(60세 이상)-계","","2107985",
"전국","계","65~69","초등학교","","643863",
"전국","계","65~69","중학교","","467168",
"전국","계","65~69","고등학교","","589584",
"전국","계","65~69","대학(4년제 미만)","","53758",
"전국","계","65~69","대학교(4년제 이상)","","198080",
"전국","계","65~69","대학원 이상","","48379",
"전국","계","65~69","안 받았음(미취학 포함)","","107153",
"전국","계","70~74","내국인(60세 이상)-계","","1758979",
"전국","계","70~74","초등학교","","681384",
"전국","계","70~74","중학교","","318634",
"전국","계","70~74","고등학교","","342300",
"전국","계","70~74","대학(4년제 미만)","","27522",
"전국","계","70~74","대학교(4년제 이상)","","135667",
"전국","계","70~74","대학원 이상","","28724",
"전국","계","70~74","안 받았음(미취학 포함)","","224748",
"전국","계","75~79","내국인(60세 이상)-계","","1350216",
"전국","계","75~79","초등학교","","546628",
"전국","계","75~79","중학교","","180812",
"전국","계","75~79","고등학교","","198522",
"전국","계","75~79","대학(4년제 미만)","","16842",
"전국","계","75~79","대학교(4년제 이상)","","89622",
"전국","계","75~79","대학원 이상","","16980",
"전국","계","75~79","안 받았음(미취학 포함)","","300810",
"전국","계","80~84","내국인(60세 이상)-계","","805573",
"전국","계","80~84","초등학교","","300941",
"전국","계","80~84","중학교","","76945",
"전국","계","80~84","고등학교","","89210",
"전국","계","80~84","대학(4년제 미만)","","8767",
"전국","계","80~84","대학교(4년제 이상)","","43875",
"전국","계","80~84","대학원 이상","","6571",
"전국","계","80~84","안 받았음(미취학 포함)","","279264",
"전국","계","85세 이상","내국인(60세 이상)-계","","522045",
"전국","계","85세 이상","초등학교","","159659",
"전국","계","85세 이상","중학교","","34766",
"전국","계","85세 이상","고등학교","","34442",
"전국","계","85세 이상","대학(4년제 미만)","","4981",
"전국","계","85세 이상","대학교(4년제 이상)","","16450",
"전국","계","85세 이상","대학원 이상","","2647",
"전국","계","85세 이상","안 받았음(미취학 포함)","","269100",
"전국","남자","합계","내국인(60세 이상)-계","","4098575",
"전국","남자","합계","초등학교","","944721",
"전국","남자","합계","중학교","","816179",
"전국","남자","합계","고등학교","","1294534",
"전국","남자","합계","대학(4년제 미만)","","132204",
"전국","남자","합계","대학교(4년제 이상)","","554424",
"전국","남자","합계","대학원 이상","","164312",
"전국","남자","합계","안 받았음(미취학 포함)","","192201",
"전국","남자","60~64","내국인(60세 이상)-계","","1345914",
"전국","남자","60~64","초등학교","","193251",
"전국","남자","60~64","중학교","","275042",
"전국","남자","60~64","고등학교","","532559",
"전국","남자","60~64","대학(4년제 미만)","","61981",
"전국","남자","60~64","대학교(4년제 이상)","","192839",
"전국","남자","60~64","대학원 이상","","75458",
"전국","남자","60~64","안 받았음(미취학 포함)","","14784",
"전국","남자","65~69","내국인(60세 이상)-계","","1010632",
"전국","남자","65~69","초등학교","","207977",
"전국","남자","65~69","중학교","","222124",
"전국","남자","65~69","고등학교","","347626",
"전국","남자","65~69","대학(4년제 미만)","","32097",
"전국","남자","65~69","대학교(4년제 이상)","","138273",
"전국","남자","65~69","대학원 이상","","40519",
"전국","남자","65~69","안 받았음(미취학 포함)","","22016",
"전국","남자","70~74","내국인(60세 이상)-계","","790128",
"전국","남자","70~74","초등학교","","227167",
"전국","남자","70~74","중학교","","166125",
"전국","남자","70~74","고등학교","","214109",
"전국","남자","70~74","대학(4년제 미만)","","17384",
"전국","남자","70~74","대학교(4년제 이상)","","101128",
"전국","남자","70~74","대학원 이상","","24934",
"전국","남자","70~74","안 받았음(미취학 포함)","","39281",
"전국","남자","75~79","내국인(60세 이상)-계","","547556",
"전국","남자","75~79","초등학교","","177946",
"전국","남자","75~79","중학교","","95349",
"전국","남자","75~79","고등학교","","129211",
"전국","남자","75~79","대학(4년제 미만)","","11525",
"전국","남자","75~79","대학교(4년제 이상)","","72535",
"전국","남자","75~79","대학원 이상","","15172",
"전국","남자","75~79","안 받았음(미취학 포함)","","45818",
"전국","남자","80~84","내국인(60세 이상)-계","","272834",
"전국","남자","80~84","초등학교","","92605",
"전국","남자","80~84","중학교","","39442",
"전국","남자","80~84","고등학교","","54020",
"전국","남자","80~84","대학(4년제 미만)","","6072",
"전국","남자","80~84","대학교(4년제 이상)","","36511",
"전국","남자","80~84","대학원 이상","","5873",
"전국","남자","80~84","안 받았음(미취학 포함)","","38311",
"전국","남자","85세 이상","내국인(60세 이상)-계","","131511",
"전국","남자","85세 이상","초등학교","","45775",
"전국","남자","85세 이상","중학교","","18097",
