"행정구역별","연령별","항목","단위","2015 년",
"전국","합계","내국인(60세 이상)-계","","9298013",
"전국","합계","혼인상태-계","","9298013",
"전국","합계","미혼","","142008",
"전국","합계","배우자 있음","","5959677",
"전국","합계","사별","","2733184",
"전국","합계","이혼","","463144",
"전국","합계","남자-계","","4098575",
"전국","합계","남자-미혼","","64857",
"전국","합계","남자-배우자 있음","","3450425",
"전국","합계","남자-사별","","353616",
"전국","합계","남자-이혼","","229677",
"전국","합계","여자-계","","5199438",
"전국","합계","여자-미혼","","77151",
"전국","합계","여자-배우자있음","","2509252",
"전국","합계","여자-사별","","2379568",
"전국","합계","여자-이혼","","233467",
"전국","60~64","내국인(60세 이상)-계","","2753215",
"전국","60~64","혼인상태-계","","2753215",
"전국","60~64","미혼","","65800",
"전국","60~64","배우자 있음","","2142503",
"전국","60~64","사별","","324133",
"전국","60~64","이혼","","220779",
"전국","60~64","남자-계","","1345914",
"전국","60~64","남자-미혼","","35501",
"전국","60~64","남자-배우자 있음","","1153370",
"전국","60~64","남자-사별","","48871",
"전국","60~64","남자-이혼","","108172",
"전국","60~64","여자-계","","1407301",
"전국","60~64","여자-미혼","","30299",
"전국","60~64","여자-배우자있음","","989133",
"전국","60~64","여자-사별","","275262",
"전국","60~64","여자-이혼","","112607",
"전국","65~69","내국인(60세 이상)-계","","2107985",
"전국","65~69","혼인상태-계","","2107985",
"전국","65~69","미혼","","33068",
"전국","65~69","배우자 있음","","1537547",
"전국","65~69","사별","","410157",
"전국","65~69","이혼","","127213",
"전국","65~69","남자-계","","1010632",
"전국","65~69","남자-미혼","","15664",
"전국","65~69","남자-배우자 있음","","872547",
"전국","65~69","남자-사별","","56939",
"전국","65~69","남자-이혼","","65482",
"전국","65~69","여자-계","","1097353",
"전국","65~69","여자-미혼","","17404",
"전국","65~69","여자-배우자있음","","665000",
"전국","65~69","여자-사별","","353218",
"전국","65~69","여자-이혼","","61731",
"전국","70~74","내국인(60세 이상)-계","","1758979",
"전국","70~74","혼인상태-계","","1758979",
"전국","70~74","미혼","","18961",
"전국","70~74","배우자 있음","","1136075",
"전국","70~74","사별","","535573",
"전국","70~74","이혼","","68370",
"전국","70~74","남자-계","","790128",
"전국","70~74","남자-미혼","","7819",
"전국","70~74","남자-배우자 있음","","675266",
"전국","70~74","남자-사별","","72075",
"전국","70~74","남자-이혼","","34968",
"전국","70~74","여자-계","","968851",
"전국","70~74","여자-미혼","","11142",
"전국","70~74","여자-배우자있음","","460809",
"전국","70~74","여자-사별","","463498",
"전국","70~74","여자-이혼","","33402",
"전국","75~79","내국인(60세 이상)-계","","1350216",
"전국","75~79","혼인상태-계","","1350216",
"전국","75~79","미혼","","11043",
"전국","75~79","배우자 있음","","723347",
"전국","75~79","사별","","584784",
"전국","75~79","이혼","","31042",
"전국","75~79","남자-계","","547556",
"전국","75~79","남자-미혼","","3511",
"전국","75~79","남자-배우자 있음","","455811",
"전국","75~79","남자-사별","","73383",
"전국","75~79","남자-이혼","","14851",
"전국","75~79","여자-계","","802660",
"전국","75~79","여자-미혼","","7532",
"전국","75~79","여자-배우자있음","","267536",
"전국","75~79","여자-사별","","511401",
"전국","75~79","여자-이혼","","16191",
"전국","80~84","내국인(60세 이상)-계","","805573",
"전국","80~84","혼인상태-계","","805573",
"전국","80~84","미혼","","6445",
"전국","80~84","배우자 있음","","310360",
"전국","80~84","사별","","477808",
"전국","80~84","이혼","","10960",
"전국","80~84","남자-계","","272834",
"전국","80~84","남자-미혼","","1436",
"전국","80~84","남자-배우자 있음","","211297",
"전국","80~84","남자-사별","","55597",
"전국","80~84","남자-이혼","","4504",
"전국","80~84","여자-계","","532739",
"전국","80~84","여자-미혼","","5009",
"전국","80~84","여자-배우자있음","","99063",
"전국","80~84","여자-사별","","422211",
"전국","80~84","여자-이혼","","6456",
"전국","85세 이상","내국인(60세 이상)-계","","522045",
"전국","85세 이상","혼인상태-계","","522045",
"전국","85세 이상","미혼","","6691",
"전국","85세 이상","배우자 있음","","109845",
"전국","85세 이상","사별","","400729",
"전국","85세 이상","이혼","","4780",
"전국","85세 이상","남자-계","","131511",
"전국","85세 이상","남자-미혼","","926",
"전국","85세 이상","남자-배우자 있음","","82134",
"전국","85세 이상","남자-사별","","46751",
"전국","85세 이상","남자-이혼","","1700",
"전국","85세 이상","여자-계","","390534",
"전국","85세 이상","여자-미혼","","5765",
"전국","85세 이상","여자-배우자있음","","27711",
"전국","85세 이상","여자-사별","","353978",
"전국","85세 이상","여자-이혼","","3080",
"동부","합계","내국인(60세 이상)-계","","6779554",
"동부","합계","혼인상태-계","","6779554",
"동부","합계","미혼","","108069",
"동부","합계","배우자 있음","","4402944",
"동부","합계","사별","","1880158",
