"행정구역별(시군구)","성별","교육정도별","항목","단위","2015 년",
"전국","계","계","15세 이상 인구","","42511505",
"전국","계","계","일하였음-계","","23870022",
"전국","계","계","주로 일하였음","","22250878",
"전국","계","계","틈틈이 일하였음","","1251575",
"전국","계","계","일시 휴직","","367569",
"전국","계","계","일하지 않았음","","18641483",
"전국","계","계","미상","","",
"전국","계","초등학교","15세 이상 인구","","3664011",
"전국","계","초등학교","일하였음-계","","1296700",
"전국","계","초등학교","주로 일하였음","","1202075",
"전국","계","초등학교","틈틈이 일하였음","","80257",
"전국","계","초등학교","일시 휴직","","14368",
"전국","계","초등학교","일하지 않았음","","2367311",
"전국","계","초등학교","미상","","",
"전국","계","중학교","15세 이상 인구","","3839027",
"전국","계","중학교","일하였음-계","","1663744",
"전국","계","중학교","주로 일하였음","","1573591",
"전국","계","중학교","틈틈이 일하였음","","69231",
"전국","계","중학교","일시 휴직","","20922",
"전국","계","중학교","일하지 않았음","","2175283",
"전국","계","중학교","미상","","",
"전국","계","고등학교","15세 이상 인구","","14534283",
"전국","계","고등학교","일하였음-계","","8101466",
"전국","계","고등학교","주로 일하였음","","7687755",
"전국","계","고등학교","틈틈이 일하였음","","307260",
"전국","계","고등학교","일시 휴직","","106451",
"전국","계","고등학교","일하지 않았음","","6432817",
"전국","계","고등학교","미상","","",
"전국","계","대학(4년제 미만)","15세 이상 인구","","5759176",
"전국","계","대학(4년제 미만)","일하였음-계","","3881771",
"전국","계","대학(4년제 미만)","주로 일하였음","","3601526",
"전국","계","대학(4년제 미만)","틈틈이 일하였음","","213548",
"전국","계","대학(4년제 미만)","일시 휴직","","66697",
"전국","계","대학(4년제 미만)","일하지 않았음","","1877405",
"전국","계","대학(4년제 미만)","미상","","",
"전국","계","대학교(4년제 이상)","15세 이상 인구","","11385908",
"전국","계","대학교(4년제 이상)","일하였음-계","","7141955",
"전국","계","대학교(4년제 이상)","주로 일하였음","","6534900",
"전국","계","대학교(4년제 이상)","틈틈이 일하였음","","480488",
"전국","계","대학교(4년제 이상)","일시 휴직","","126567",
"전국","계","대학교(4년제 이상)","일하지 않았음","","4243953",
"전국","계","대학교(4년제 이상)","미상","","",
"전국","계","대학원석사과정","15세 이상 인구","","1605404",
"전국","계","대학원석사과정","일하였음-계","","1220448",
"전국","계","대학원석사과정","주로 일하였음","","1132872",
"전국","계","대학원석사과정","틈틈이 일하였음","","61007",
"전국","계","대학원석사과정","일시 휴직","","26569",
"전국","계","대학원석사과정","일하지 않았음","","384956",
"전국","계","대학원석사과정","미상","","",
"전국","계","대학원박사과정","15세 이상 인구","","434847",
"전국","계","대학원박사과정","일하였음-계","","360645",
"전국","계","대학원박사과정","주로 일하였음","","337191",
