행정구역별,,20세이상 인구-계,사회분야단체,경제분야단체,문화분야단체,정치분야단체,종교분야단체,지역단체,친목단체,교육단체,기타,없음,,,,,,,,,,
서울특별시,종로구,123566,5921,1421,12878,530,11498,1998,18486,2977,45,85199,0.047917712,0.011499927,0.104219607,0.004289206,0.093051487,0.016169496,0.14960426,0.024092388,0.000364178,0.689501967
서울특별시,중구,101507,3801,994,8420,370,7804,1626,15155,1845,57,72837,0.030760889,0.008044284,0.068141722,0.002994351,0.063156532,0.01315896,0.122647006,0.014931292,0.000461292,0.589458265
서울특별시,용산구,177996,7526,2082,18129,765,17183,2688,27436,4052,87,122764,0.060906722,0.016849295,0.146715116,0.006191023,0.139059288,0.021753557,0.222035188,0.032792192,0.000704077,0.993509541
서울특별시,성동구,236702,9447,2498,23183,871,19128,3967,37784,5515,134,164805,0.07645307,0.020215917,0.187616335,0.007048865,0.154799864,0.032104301,0.305779907,0.044632019,0.001084441,1.333740673
서울특별시,광진구,291636,10821,2738,28585,756,22213,3094,45597,6149,104,205762,0.087572633,0.022158199,0.231333862,0.006118188,0.179766279,0.02503925,0.369009274,0.04976288,0.000841655,1.665199165
서울특별시,동대문구,291897,8961,3148,23759,805,20870,3547,42299,5538,189,211555,0.072519949,0.025476264,0.192277811,0.006514737,0.168897593,0.028705307,0.342319085,0.044818154,0.001529547,1.712080993
서울특별시,중랑구,328645,8627,2708,24105,737,24877,4023,50088,5425,70,237999,0.06981694,0.021915414,0.195077934,0.005964424,0.201325607,0.0325575,0.405354224,0.043903663,0.000566499,1.926088082
서울특별시,성북구,362934,12726,3556,32864,950,33588,4746,54807,7997,121,253761,0.102989495,0.028778143,0.265963129,0.007688199,0.271822346,0.038408624,0.443544341,0.06471845,0.000979234,2.053647443
서울특별시,강북구,261845,7161,2045,20153,780,21900,2725,37860,4646,37,189200,0.057952835,0.01654986,0.163095026,0.006312416,0.177233219,0.022052992,0.306394963,0.03759934,0.000299435,1.531165531
서울특별시,도봉구,274704,8314,2463,21809,627,19744,3126,39829,5248,143,200535,0.067283881,0.019932668,0.176496771,0.005074211,0.159785054,0.025298221,0.322329767,0.04247123,0.001157276,1.622897885
서울특별시,노원구,438287,15550,5086,42169,1162,35701,5685,62824,12689,210,307239,0.125843679,0.04116019,0.341267015,0.009403881,0.288922519,0.046007801,0.508424648,0.10269006,0.001699497,2.486436398
서울특별시,은평구,383665,11859,3453,31476,1017,32820,4770,54031,7125,140,277418,0.095973002,0.02794458,0.254730266,0.008230419,0.265607044,0.038602852,0.437264296,0.057661493,0.001132998,2.245099785
서울특별시,서대문구,248483,9552,2406,23471,908,22981,2540,34937,5362,303,174853,0.077302818,0.019471376,0.189947073,0.0073483,0.185981581,0.020555816,0.282739589,0.043393814,0.002452131,1.41505754
서울특별시,마포구,304932,11800,3949,31716,1044,27170,4598,45175,7079,327,210258,0.095495525,0.031958629,0.256672547,0.008448926,0.219882492,0.037210883,0.365594095,0.057289222,0.002646359,1.701584578
서울특별시,양천구,358356,14597,4968,38939,1048,36094,5643,62546,12014,102,237451,0.118131201,0.040205234,0.315127139,0.008481297,0.292103006,0.045667902,0.506174838,0.097227393,0.00082547,1.921653206
서울특별시,강서구,456362,15358,4739,42278,1120,39136,6882,65388,9757,67,322713,0.124289853,0.038351974,0.342149135,0.009063982,0.316721428,0.055694932,0.529174692,0.07896185,0.00054222,2.611665021
서울특별시,구로구,332855,9817,3684,29026,765,27083,5267,50773,7239,79,236653,0.079447421,0.029814027,0.234902805,0.006191023,0.219178415,0.042624994,0.41089782,0.058584077,0.000639334,1.915195118
서울특별시,금천구,190003,5254,1512,14590,343,13478,2541,27362,2984,87,138741,0.042519787,0.012236376,0.118074551,0.002775844,0.109075312,0.020563909,0.221436317,0.024149038,0.000704077,1.122808863
서울특별시,영등포구,300262,11232,3375,30742,999,27833,5166,50759,6400,194,203357,0.090898791,0.027313339,0.24879012,0.008084748,0.225248046,0.041807617,0.41078452,0.051794183,0.001570011,1.645735882
서울특별시,동작구,326192,12558,3856,34379,922,31981,4566,51130,7109,254,222957,0.101629898,0.031205995,0.278223783,0.007461599,0.25881715,0.036951912,0.413786964,0.057532007,0.002055582,1.804355567
서울특별시,관악구,423842,14843,3624,39715,1402,40234,4179,57355,6983,199,298479,0.12012204,0.029328456,0.321407183,0.011346163,0.325607368,0.033819983,0.4641649,0.056512309,0.001610475,2.415543111
서울특별시,서초구,326665,17404,5978,44244,1319,41531,7508,66990,13903,235,198639,0.140847806,0.048379004,0.35805966,0.010674457,0.336103783,0.060761051,0.542139423,0.112514769,0.001901818,1.607553858
서울특별시,강남구,426139,20892,7083,56410,1661,50343,8308,83388,16675,338,267208,0.169075636,0.057321593,0.456517165,0.013442209,0.407417898,0.067235324,0.674845831,0.134948125,0.00273538,2.162471877
서울특별시,송파구,499113,21172,6752,59517,1471,54212,8313,88897,15351,207,326328,0.171341631,0.054642863,0.481661622,0.011904569,0.4387291,0.067275788,0.719429293,0.124233203,0.001675218,2.640920642
서울특별시,강동구,353719,11783,3637,35770,964,38543,5155,61067,9107,84,234847,0.095357946,0.029433663,0.289480925,0.007801499,0.311922373,0.041718596,0.494205526,0.073701504,0.000679799,1.900579447
부산광역시,중구,38414,1582,389,2192,203,2312,572,6677,397,6,27262,0.012802875,0.003148115,0.017739508,0.001642847,0.018710649,0.004629105,0.0540359,0.003212858,4.8557E-05,0.220627033
부산광역시,서구,93559,2931,827,5978,253,5698,1275,15703,1541,28,67565,0.023720117,0.00669278,0.048379004,0.002047489,0.046113008,0.010318372,0.127081883,0.012471068,0.0002266,0.546792807
부산광역시,동구,75188,2549,511,3910,255,3909,1072,9329,763,5,58387,0.020628652,0.004135442,0.031643009,0.002063674,0.031634916,0.008675526,0.075498114,0.006174838,4.04642E-05,0.472516712
부산광역시,영도구,108027,3342,850,6387,309,7162,1294,22135,1873,16,73607,0.027046275,0.006878915,0.051688976,0.002500688,0.057960928,0.010472136,0.179135037,0.015157891,0.000129485,0.595689753
부산광역시,부산진구,309019,9052,3187,23283,882,13292,3778,51608,5252,48,225767,0.073256397,0.025791884,0.188425619,0.007137886,0.107570044,0.030574754,0.417655342,0.042503601,0.000388456,1.82709645
부산광역시,동래구,210965,8345,2187,19072,469,14115,3216,41188,4474,11,142085,0.067534759,0.017699043,0.154346665,0.003795542,0.114230452,0.026026577,0.333327938,0.036207371,8.90213E-05,1.149871324
부산광역시,남구,227573,7374,2523,18590,534,13006,2599,41426,4402,29,158665,0.05967661,0.020418238,0.150445916,0.004321577,0.105255491,0.021033294,0.335254034,0.035624686,0.000234692,1.284050629
부산광역시,북구,239076,6898,2227,18730,528,11752,3380,42126,4267,32,171659,0.055824418,0.018022757,0.151578913,0.00427302,0.095107068,0.027353803,0.340919023,0.034532153,0.000258971,1.389209006
부산광역시,해운대구,319734,12249,4129,30191,949,21710,4826,53305,7838,57,222830,0.09912921,0.033415341,0.244330965,0.007680106,0.17569558,0.039056051,0.431388893,0.063431688,0.000461292,1.803327776
