"행정구역별(시군구)","산업별","항목","단위","2015 년",
"전국","계","취업인구-현거주지","","23870022",
"전국","계","취업인구-근무지","","23870022",
"전국","계","남-현거주지","","14044168",
"전국","계","남-근무지","","14044168",
"전국","계","여-현거주지","","9825854",
"전국","계","여-근무지","","9825854",
"전국","A. 농업, 임업 및 어업","취업인구-현거주지","","1560935",
"전국","A. 농업, 임업 및 어업","취업인구-근무지","","1560935",
"전국","A. 농업, 임업 및 어업","남-현거주지","","867980",
"전국","A. 농업, 임업 및 어업","남-근무지","","867980",
"전국","A. 농업, 임업 및 어업","여-현거주지","","692955",
"전국","A. 농업, 임업 및 어업","여-근무지","","692955",
"전국","B. 광업","취업인구-현거주지","","19407",
"전국","B. 광업","취업인구-근무지","","19407",
"전국","B. 광업","남-현거주지","","15935",
"전국","B. 광업","남-근무지","","15935",
"전국","B. 광업","여-현거주지","","3472",
"전국","B. 광업","여-근무지","","3472",
"전국","C. 제조업","취업인구-현거주지","","4286275",
"전국","C. 제조업","취업인구-근무지","","4286275",
"전국","C. 제조업","남-현거주지","","3111277",
"전국","C. 제조업","남-근무지","","3111277",
"전국","C. 제조업","여-현거주지","","1174998",
"전국","C. 제조업","여-근무지","","1174998",
"전국","D. 전기,가스,증기 및 수도사업","취업인구-현거주지","","115539",
"전국","D. 전기,가스,증기 및 수도사업","취업인구-근무지","","115539",
"전국","D. 전기,가스,증기 및 수도사업","남-현거주지","","96713",
"전국","D. 전기,가스,증기 및 수도사업","남-근무지","","96713",
"전국","D. 전기,가스,증기 및 수도사업","여-현거주지","","18826",
"전국","D. 전기,가스,증기 및 수도사업","여-근무지","","18826",
"전국","E. 하수 폐기물처리, 원료재생 및 환경복원업","취업인구-현거주지","","83310",
"전국","E. 하수 폐기물처리, 원료재생 및 환경복원업","취업인구-근무지","","83310",
"전국","E. 하수 폐기물처리, 원료재생 및 환경복원업","남-현거주지","","67766",
"전국","E. 하수 폐기물처리, 원료재생 및 환경복원업","남-근무지","","67766",
"전국","E. 하수 폐기물처리, 원료재생 및 환경복원업","여-현거주지","","15544",
"전국","E. 하수 폐기물처리, 원료재생 및 환경복원업","여-근무지","","15544",
"전국","F. 건설업","취업인구-현거주지","","1501491",
"전국","F. 건설업","취업인구-근무지","","1501491",
"전국","F. 건설업","남-현거주지","","1346211",
"전국","F. 건설업","남-근무지","","1346211",
"전국","F. 건설업","여-현거주지","","155280",
"전국","F. 건설업","여-근무지","","155280",
"전국","G. 도매 및 소매업","취업인구-현거주지","","3258067",
"전국","G. 도매 및 소매업","취업인구-근무지","","3258067",
"전국","G. 도매 및 소매업","남-현거주지","","1782212",
"전국","G. 도매 및 소매업","남-근무지","","1782212",
"전국","G. 도매 및 소매업","여-현거주지","","1475855",
"전국","G. 도매 및 소매업","여-근무지","","1475855",
"전국","H. 운수업","취업인구-현거주지","","1165696",
"전국","H. 운수업","취업인구-근무지","","1165696",
"전국","H. 운수업","남-현거주지","","1023384",
"전국","H. 운수업","남-근무지","","1023384",
"전국","H. 운수업","여-현거주지","","142312",
"전국","H. 운수업","여-근무지","","142312",
"전국","I. 숙박 및 음식점업","취업인구-현거주지","","1912245",
"전국","I. 숙박 및 음식점업","취업인구-근무지","","1912245",
"전국","I. 숙박 및 음식점업","남-현거주지","","717725",
"전국","I. 숙박 및 음식점업","남-근무지","","717725",
"전국","I. 숙박 및 음식점업","여-현거주지","","1194520",
"전국","I. 숙박 및 음식점업","여-근무지","","1194520",
"전국","J. 출판, 영상 방송통신 및 정보서비스업","취업인구-현거주지","","694457",
"전국","J. 출판, 영상 방송통신 및 정보서비스업","취업인구-근무지","","694457",
"전국","J. 출판, 영상 방송통신 및 정보서비스업","남-현거주지","","481772",
"전국","J. 출판, 영상 방송통신 및 정보서비스업","남-근무지","","481772",
"전국","J. 출판, 영상 방송통신 및 정보서비스업","여-현거주지","","212685",
"전국","J. 출판, 영상 방송통신 및 정보서비스업","여-근무지","","212685",
"전국","K. 금융 및 보험업","취업인구-현거주지","","809325",
"전국","K. 금융 및 보험업","취업인구-근무지","","809325",
"전국","K. 금융 및 보험업","남-현거주지","","399230",
"전국","K. 금융 및 보험업","남-근무지","","399230",
"전국","K. 금융 및 보험업","여-현거주지","","410095",
"전국","K. 금융 및 보험업","여-근무지","","410095",
"전국","L. 부동산업 및 임대업","취업인구-현거주지","","616290",
"전국","L. 부동산업 및 임대업","취업인구-근무지","","616290",
"전국","L. 부동산업 및 임대업","남-현거주지","","411304",
"전국","L. 부동산업 및 임대업","남-근무지","","411304",
"전국","L. 부동산업 및 임대업","여-현거주지","","204986",
"전국","L. 부동산업 및 임대업","여-근무지","","204986",
"전국","M. 전문,과학 및 기술서비스업","취업인구-현거주지","","1035640",
"전국","M. 전문,과학 및 기술서비스업","취업인구-근무지","","1035640",
"전국","M. 전문,과학 및 기술서비스업","남-현거주지","","691150",
"전국","M. 전문,과학 및 기술서비스업","남-근무지","","691150",
"전국","M. 전문,과학 및 기술서비스업","여-현거주지","","344490",
"전국","M. 전문,과학 및 기술서비스업","여-근무지","","344490",
"전국","N. 사업시설관리 및 사업지원서비스업","취업인구-현거주지","","1045959",
"전국","N. 사업시설관리 및 사업지원서비스업","취업인구-근무지","","1045959",
"전국","N. 사업시설관리 및 사업지원서비스업","남-현거주지","","662491",
"전국","N. 사업시설관리 및 사업지원서비스업","남-근무지","","662491",
"전국","N. 사업시설관리 및 사업지원서비스업","여-현거주지","","383468",
"전국","N. 사업시설관리 및 사업지원서비스업","여-근무지","","383468",
"전국","O. 공공행정, 국방 및 사회보장행정","취업인구-현거주지","","951972",
"전국","O. 공공행정, 국방 및 사회보장행정","취업인구-근무지","","951972",
"전국","O. 공공행정, 국방 및 사회보장행정","남-현거주지","","649131",
"전국","O. 공공행정, 국방 및 사회보장행정","남-근무지","","649131",
"전국","O. 공공행정, 국방 및 사회보장행정","여-현거주지","","302841",
"전국","O. 공공행정, 국방 및 사회보장행정","여-근무지","","302841",
"전국","P. 교육서비스업","취업인구-현거주지","","1726517",
"전국","P. 교육서비스업","취업인구-근무지","","1726517",
"전국","P. 교육서비스업","남-현거주지","","605707",
"전국","P. 교육서비스업","남-근무지","","605707",
"전국","P. 교육서비스업","여-현거주지","","1120810",
"전국","P. 교육서비스업","여-근무지","","1120810",
"전국","Q. 보건업 및 사회복지서비스업","취업인구-현거주지","","1542971",
"전국","Q. 보건업 및 사회복지서비스업","취업인구-근무지","","1542971",
"전국","Q. 보건업 및 사회복지서비스업","남-현거주지","","313296",
"전국","Q. 보건업 및 사회복지서비스업","남-근무지","","313296",
"전국","Q. 보건업 및 사회복지서비스업","여-현거주지","","1229675",
"전국","Q. 보건업 및 사회복지서비스업","여-근무지","","1229675",
"전국","R. 예술, 스포츠 및 여가 관련 서비스업","취업인구-현거주지","","405576",
"전국","R. 예술, 스포츠 및 여가 관련 서비스업","취업인구-근무지","","405576",
"전국","R. 예술, 스포츠 및 여가 관련 서비스업","남-현거주지","","218727",
"전국","R. 예술, 스포츠 및 여가 관련 서비스업","남-근무지","","218727",
"전국","R. 예술, 스포츠 및 여가 관련 서비스업","여-현거주지","","186849",
"전국","R. 예술, 스포츠 및 여가 관련 서비스업","여-근무지","","186849",
"전국","S. 협회 및 단체, 수리 및 기타 개인서비스업","취업인구-현거주지","","1032706",
"전국","S. 협회 및 단체, 수리 및 기타 개인서비스업","취업인구-근무지","","1032706",
"전국","S. 협회 및 단체, 수리 및 기타 개인서비스업","남-현거주지","","568227",
"전국","S. 협회 및 단체, 수리 및 기타 개인서비스업","남-근무지","","568227",
"전국","S. 협회 및 단체, 수리 및 기타 개인서비스업","여-현거주지","","464479",
"전국","S. 협회 및 단체, 수리 및 기타 개인서비스업","여-근무지","","464479",
"전국","T.가구 내 고용활동 및 달리 분류되지 않은 자가생산활동","취업인구-현거주지","","93206",
"전국","T.가구 내 고용활동 및 달리 분류되지 않은 자가생산활동","취업인구-근무지","","93206",
"전국","T.가구 내 고용활동 및 달리 분류되지 않은 자가생산활동","남-현거주지","","4979",
"전국","T.가구 내 고용활동 및 달리 분류되지 않은 자가생산활동","남-근무지","","4979",
"전국","T.가구 내 고용활동 및 달리 분류되지 않은 자가생산활동","여-현거주지","","88227",
"전국","T.가구 내 고용활동 및 달리 분류되지 않은 자가생산활동","여-근무지","","88227",
"전국","U.국제 및 외국기관","취업인구-현거주지","","12438",
"전국","U.국제 및 외국기관","취업인구-근무지","","12438",
"전국","U.국제 및 외국기관","남-현거주지","","8951",
"전국","U.국제 및 외국기관","남-근무지","","8951",
"전국","U.국제 및 외국기관","여-현거주지","","3487",
"전국","U.국제 및 외국기관","여-근무지","","3487",
"동부","계","취업인구-현거주지","","19190834",
"동부","계","취업인구-근무지","","17644512",
