"행정구역(시군구)별","거주외국인별","연령별","항목","단위","2019 년",
"합계","합계","계","외국인 주민현항","명","1964646",
"합계","합계","0 - 9세","외국인 주민현항","명","69966",
"합계","합계","10 - 19세","외국인 주민현항","명","62431",
"합계","합계","20 - 29세","외국인 주민현항","명","497780",
"합계","합계","30 - 39세","외국인 주민현항","명","543649",
"합계","합계","40 - 49세","외국인 주민현항","명","335614",
"합계","합계","50 - 59세","외국인 주민현항","명","279815",
"합계","합계","60 - 69세","외국인 주민현항","명","141659",
"합계","합계","70세 이상","외국인 주민현항","명","33732",
"합계","한국국적을 가지지 않은 자","계","외국인 주민현항","명","1778918",
"합계","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","65250",
"합계","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","56707",
"합계","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","478997",
"합계","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","483489",
"합계","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","290198",
"합계","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","248435",
"합계","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","126431",
"합계","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","29411",
"합계","외국인근로자","계","외국인 주민현항","명","515051",
"합계","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"합계","외국인근로자","10 - 19세","외국인 주민현항","명","1119",
"합계","외국인근로자","20 - 29세","외국인 주민현항","명","159206",
"합계","외국인근로자","30 - 39세","외국인 주민현항","명","176054",
"합계","외국인근로자","40 - 49세","외국인 주민현항","명","84038",
"합계","외국인근로자","50 - 59세","외국인 주민현항","명","85552",
"합계","외국인근로자","60 - 69세","외국인 주민현항","명","8761",
"합계","외국인근로자","70세 이상","외국인 주민현항","명","320",
"합계","결혼이민자","계","외국인 주민현항","명","173882",
"합계","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"합계","결혼이민자","10 - 19세","외국인 주민현항","명","966",
"합계","결혼이민자","20 - 29세","외국인 주민현항","명","34528",
"합계","결혼이민자","30 - 39세","외국인 주민현항","명","63008",
"합계","결혼이민자","40 - 49세","외국인 주민현항","명","37554",
"합계","결혼이민자","50 - 59세","외국인 주민현항","명","28032",
"합계","결혼이민자","60 - 69세","외국인 주민현항","명","8615",
"합계","결혼이민자","70세 이상","외국인 주민현항","명","1179",
"합계","유학생","계","외국인 주민현항","명","160610",
"합계","유학생","0 - 9세","외국인 주민현항","명","*",
"합계","유학생","10 - 19세","외국인 주민현항","명","24004",
"합계","유학생","20 - 29세","외국인 주민현항","명","124723",
"합계","유학생","30 - 39세","외국인 주민현항","명","10735",
"합계","유학생","40 - 49세","외국인 주민현항","명","1042",
"합계","유학생","50 - 59세","외국인 주민현항","명","89",
"합계","유학생","60 - 69세","외국인 주민현항","명","15",
"합계","유학생","70세 이상","외국인 주민현항","명","*",
"합계","외국국적동포","계","외국인 주민현항","명","303245",
"합계","외국국적동포","0 - 9세","외국인 주민현항","명","818",
"합계","외국국적동포","10 - 19세","외국인 주민현항","명","1590",
"합계","외국국적동포","20 - 29세","외국인 주민현항","명","32308",
"합계","외국국적동포","30 - 39세","외국인 주민현항","명","63251",
"합계","외국국적동포","40 - 49세","외국인 주민현항","명","48482",
"합계","외국국적동포","50 - 59세","외국인 주민현항","명","53557",
"합계","외국국적동포","60 - 69세","외국인 주민현항","명","82499",
"합계","외국국적동포","70세 이상","외국인 주민현항","명","20740",
"합계","기타외국인","계","외국인 주민현항","명","626130",
"합계","기타외국인","0 - 9세","외국인 주민현항","명","64431",
"합계","기타외국인","10 - 19세","외국인 주민현항","명","29028",
"합계","기타외국인","20 - 29세","외국인 주민현항","명","128232",
"합계","기타외국인","30 - 39세","외국인 주민현항","명","170441",
"합계","기타외국인","40 - 49세","외국인 주민현항","명","119082",
"합계","기타외국인","50 - 59세","외국인 주민현항","명","81205",
"합계","기타외국인","60 - 69세","외국인 주민현항","명","26541",
