행정구역(시도)별(1),특성별(1),특성별(2),2020,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
행정구역(시도)별(1),특성별(1),특성별(2),계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
전국,전체,계,100,24.1,39,28.2,8,0.7
전국,동·읍면부,동부,100,24.1,38.7,28.4,8.2,0.7
전국,동·읍면부,읍면부,100,24.1,40.6,27.1,7.4,0.8
전국,성별,남자,100,23.9,38.2,28.8,8.4,0.8
전국,성별,여자,100,24.3,39.7,27.6,7.8,0.7
전국,연령,13∼19세,100,41.8,36,18.1,4,0.2
전국,연령,20∼29세,100,21.7,39.3,32.8,5.7,0.5
전국,연령,30∼39세,100,22.3,35.6,33.4,7.7,1
전국,연령,40∼49세,100,20.8,40.1,29,8.9,1.1
전국,연령,50∼59세,100,21.8,40.2,27.6,9.8,0.6
전국,연령,60세이상,100,24.9,39.8,25.9,8.7,0.7
전국,연령,65세이상,100,25.3,39.9,25.8,8.4,0.6
전국,교육정도,초졸이하,100,27.5,40.5,24.6,6.4,1
전국,교육정도,중 졸,100,27.6,37.4,25.4,9.1,0.5
전국,교육정도,고 졸,100,23.6,37.5,29.2,9,0.7
전국,교육정도,대졸이상,100,22.1,40.4,29.5,7.3,0.7
전국,혼인상태,미? 혼,100,27.1,38.2,28,6,0.6
전국,혼인상태,배우자 있음,100,22.6,39.5,28.4,8.9,0.7
전국,혼인상태,사? 별,100,26.8,40.2,26,6.2,0.8
전국,혼인상태,이? 혼,100,21.8,35.8,29.4,11.5,1.5
전국,경제활동,취? 업,100,22.1,39.9,29.7,7.7,0.7
전국,경제활동,실업 및 비경제활동,100,26.2,38.1,26.6,8.4,0.7
전국,산업,농림어업,100,25.5,44.4,22.9,6.9,0.3
전국,산업,광공업,100,21.4,37,32.7,7.8,1.1
전국,산업,사회간접자본 기타서비스업,100,21.9,40.1,29.6,7.8,0.6
전국,직업,전문관리,100,23.9,42.9,26.3,6.5,0.4
전국,직업,사? 무,100,20.8,39.9,31.5,6.5,1.4
전국,직업,서비스판매,100,22.3,36.9,32.1,8.3,0.4
전국,직업,농어업,100,25.9,44.5,22.3,7,0.3
전국,직업,기능노무,100,20.5,38.3,31.1,9.4,0.8
전국,종사상의 지위,임금근로자,100,22.2,40.3,29.6,7.1,0.7
전국,종사상의 지위,고용주,100,21.9,37.2,30,10.4,0.4
전국,종사상의 지위,자영자,100,20,38.5,31.1,9.7,0.6
전국,주관적 만족감,만족,100,31.9,41.8,19.6,6.4,0.3
전국,주관적 만족감,보통,100,18.5,38,34.9,7.9,0.7
전국,주관적 만족감,불만족,100,17.3,32.9,33.6,14,2.1
전국,가구소득,100만원 미만,100,26.6,39.1,25.3,7.9,1.1
전국,가구소득,100∼200만원 미만,100,23.7,39.2,27.6,8.7,0.9
전국,가구소득,200∼300만원 미만,100,22.9,37.5,30.5,8.7,0.4
전국,가구소득,300∼400만원 미만,100,21.8,36.2,32.4,8.9,0.8
전국,가구소득,400~500만원 미만,100,22.3,42.4,26.5,8.1,0.7
전국,가구소득,500∼600만원 미만,100,23.8,38.5,29.7,7.7,0.4
전국,가구소득,600만원 이상,100,27.6,41,24.5,6.2,0.7
전국,연령*성별,13~19세*남자,100,42.4,34,19.2,4.5,-
전국,연령*성별,13~19세*여자,100,41.1,38.3,16.8,3.5,0.4
전국,연령*성별,20∼29세*남자,100,20.6,39,34.8,4.9,0.7
