"행정구역(시군구)별","연령별","항목","단위","2021. 02 월",
"전국","계","총인구수","명","51824142",
"전국","계","남자인구수","명","25836561",
"전국","계","여자인구수","명","25987581",
"전국","0세","총인구수","명","259184",
"전국","0세","남자인구수","명","132770",
"전국","0세","여자인구수","명","126414",
"전국","1세","총인구수","명","297441",
"전국","1세","남자인구수","명","152762",
"전국","1세","여자인구수","명","144679",
"전국","2세","총인구수","명","327620",
"전국","2세","남자인구수","명","168139",
"전국","2세","여자인구수","명","159481",
"전국","3세","총인구수","명","357729",
"전국","3세","남자인구수","명","184044",
"전국","3세","여자인구수","명","173685",
"전국","4세","총인구수","명","404236",
"전국","4세","남자인구수","명","206857",
"전국","4세","여자인구수","명","197379",
"전국","5세","총인구수","명","440441",
"전국","5세","남자인구수","명","225898",
"전국","5세","여자인구수","명","214543",
"전국","6세","총인구수","명","440399",
"전국","6세","남자인구수","명","225405",
"전국","6세","여자인구수","명","214994",
"전국","7세","총인구수","명","438689",
"전국","7세","남자인구수","명","224428",
"전국","7세","여자인구수","명","214261",
"전국","8세","총인구수","명","486317",
"전국","8세","남자인구수","명","249408",
"전국","8세","여자인구수","명","236909",
"전국","9세","총인구수","명","475372",
"전국","9세","남자인구수","명","244168",
"전국","9세","여자인구수","명","231204",
"전국","10세","총인구수","명","480220",
"전국","10세","남자인구수","명","247021",
"전국","10세","여자인구수","명","233199",
"전국","11세","총인구수","명","447150",
"전국","11세","남자인구수","명","230424",
"전국","11세","여자인구수","명","216726",
"전국","12세","총인구수","명","464964",
"전국","12세","남자인구수","명","239345",
"전국","12세","여자인구수","명","225619",
"전국","13세","총인구수","명","498647",
"전국","13세","남자인구수","명","256183",
"전국","13세","여자인구수","명","242464",
"전국","14세","총인구수","명","455033",
"전국","14세","남자인구수","명","235210",
"전국","14세","여자인구수","명","219823",
"전국","15세","총인구수","명","437512",
"전국","15세","남자인구수","명","226446",
"전국","15세","여자인구수","명","211066",
"전국","16세","총인구수","명","465210",
"전국","16세","남자인구수","명","240707",
"전국","16세","여자인구수","명","224503",
"전국","17세","총인구수","명","491134",
"전국","17세","남자인구수","명","254862",
"전국","17세","여자인구수","명","236272",
"전국","18세","총인구수","명","489447",
"전국","18세","남자인구수","명","254734",
"전국","18세","여자인구수","명","234713",
"전국","19세","총인구수","명","543600",
"전국","19세","남자인구수","명","282638",
"전국","19세","여자인구수","명","260962",
"전국","20세","총인구수","명","628209",
"전국","20세","남자인구수","명","327424",
"전국","20세","여자인구수","명","300785",
"전국","21세","총인구수","명","623829",
"전국","21세","남자인구수","명","325303",
"전국","21세","여자인구수","명","298526",
"전국","22세","총인구수","명","633051",
"전국","22세","남자인구수","명","330316",
"전국","22세","여자인구수","명","302735",
"전국","23세","총인구수","명","666204",
"전국","23세","남자인구수","명","345143",
"전국","23세","여자인구수","명","321061",
"전국","24세","총인구수","명","678172",
"전국","24세","남자인구수","명","355434",
"전국","24세","여자인구수","명","322738",
"전국","25세","총인구수","명","702429",
"전국","25세","남자인구수","명","369949",
"전국","25세","여자인구수","명","332480",
"전국","26세","총인구수","명","708716",
"전국","26세","남자인구수","명","376967",
"전국","26세","여자인구수","명","331749",
"전국","27세","총인구수","명","706897",
"전국","27세","남자인구수","명","375587",
"전국","27세","여자인구수","명","331310",
"전국","28세","총인구수","명","722149",
"전국","28세","남자인구수","명","381071",
"전국","28세","여자인구수","명","341078",
"전국","29세","총인구수","명","702303",
"전국","29세","남자인구수","명","367908",
"전국","29세","여자인구수","명","334395",
"전국","30세","총인구수","명","639476",
"전국","30세","남자인구수","명","335101",
"전국","30세","여자인구수","명","304375",
"전국","31세","총인구수","명","635218",
"전국","31세","남자인구수","명","333889",
"전국","31세","여자인구수","명","301329",
"전국","32세","총인구수","명","627004",
"전국","32세","남자인구수","명","326359",
"전국","32세","여자인구수","명","300645",
"전국","33세","총인구수","명","618603",
"전국","33세","남자인구수","명","318943",
"전국","33세","여자인구수","명","299660",
"전국","34세","총인구수","명","624996",
"전국","34세","남자인구수","명","321524",
"전국","34세","여자인구수","명","303472",
"전국","35세","총인구수","명","646132",
"전국","35세","남자인구수","명","332607",
"전국","35세","여자인구수","명","313525",
"전국","36세","총인구수","명","651340",
"전국","36세","남자인구수","명","334298",
"전국","36세","여자인구수","명","317042",
"전국","37세","총인구수","명","736392",
"전국","37세","남자인구수","명","376414",
"전국","37세","여자인구수","명","359978",
"전국","38세","총인구수","명","811688",
"전국","38세","남자인구수","명","414022",
"전국","38세","여자인구수","명","397666",
"전국","39세","총인구수","명","843737",
"전국","39세","남자인구수","명","429390",
"전국","39세","여자인구수","명","414347",
"전국","40세","총인구수","명","832608",
"전국","40세","남자인구수","명","424529",
"전국","40세","여자인구수","명","408079",
"전국","41세","총인구수","명","833297",
"전국","41세","남자인구수","명","423941",
"전국","41세","여자인구수","명","409356",
"전국","42세","총인구수","명","744817",
"전국","42세","남자인구수","명","379017",
"전국","42세","여자인구수","명","365800",
"전국","43세","총인구수","명","771950",
"전국","43세","남자인구수","명","390363",
"전국","43세","여자인구수","명","381587",
"전국","44세","총인구수","명","758178",
"전국","44세","남자인구수","명","387083",
"전국","44세","여자인구수","명","371095",
"전국","45세","총인구수","명","785028",
"전국","45세","남자인구수","명","397207",
"전국","45세","여자인구수","명","387821",
"전국","46세","총인구수","명","848582",
"전국","46세","남자인구수","명","431349",
"전국","46세","여자인구수","명","417233",
"전국","47세","총인구수","명","891769",
"전국","47세","남자인구수","명","448359",
