지역,인구수
종로구,157277
중구,127896
용산구,223898
성동구,302367
광진구,363934
동대문구,357380
중랑구,396892
성북구,445417
강북구,313698
도봉구,332586
노원구,543499
은평구,466243
서대문구,321345
마포구,368841
양천구,452111
강서구,581675
구로구,436869
금천구,249930
영등포구,393560
동작구,400236
관악구,511222
서초구,414550
강남구,522514
송파구,633953
강동구,423978
중구,43799
서구,106924
동구,86106
영도구,123531
부산진구,366492
동래구,261671
남구,275941
북구,296945
해운대구,399363
사하구,330293
금정구,246891
강서구,116702
연제구,201053
수영구,173059
사상구,231587
기장군,156561
중구,75324
동구,340396
서구,191414
남구,152785
북구,445293
수성구,425546
달서구,583043
달성군,239240
중구,115153
동구,68171
남구,421851
연수구,337595
남동구,534050
부평구,538236
계양구,318104
서구,509776
강화군,63737
옹진군,19294
동구,100914
서구,306054
남구,219256
북구,450323
광산구,419625
동구,239752
중구,243540
서구,487449
유성구,366639
대덕구,188469
중구,233343
남구,333117
동구,172306
북구,196147
울주군,222164
세종시,276589
수원시,1216996
성남시,944297
의정부시,426530
안양시,576697
부천시,845514
광명시,328253
평택시,486077
동두천시,97373
안산시,733661
고양시,1005102
과천시,53583
구리시,189741
남양주시,644936
오산시,219877
시흥시,446369
군포시,280913
의왕시,151852
하남시,218994
용인시,996260
파주시,430650
이천시,218798
안성시,198832
김포시,392438
화성시,708569
광주시,341046
양주시,212631
포천시,161239
여주시,111476
연천군,43990
가평군,59548
양평군,109359
춘천시,283742
원주시,341338
강릉시,215914
동해시,89151
태백시,44733
속초시,78618
삼척시,67860
홍천군,67168
횡성군,43211
영월군,36934
평창군,40264
정선군,36002
철원군,44770
화천군,24625
양구군,22355
인제군,30524
고성군,28621
양양군,25556
청주시,842311
충주시,212274
제천시,136929
보은군,32253
옥천군,49898
영동군,49034
증평균,37625
진천군,79186
괴산군,38579
음성군,104509
단양군,28411
천안시,656294
공주시,111017
보령시,100922
아산시,338473
서산시,171364
논산시,123774
계룡시,41858
당진시,168508
금산군,55672
부여군,67028
서천군,53321
청양군,31299
홍성군,103048
예산군,78678
태안군,61170
전주시,656956
군산시,273649
익산시,298928
정읍시,109263
남원시,79282
김제시,82358
완주군,98528
진안군,22998
무주군,23195
장수군,21395
임실군,26409
순창군,27017
고창군,54947
부안군,51249
목포시,233948
여수시,271741
순천시,266809
나주시,105579
광양시,144010
담양군,43781
곡성군,28768
구례군,24420
고흥군,60984
보성군,39942
화순군,60566
장흥군,36275
강진군,33637
해남군,67123
영암군,57679
무안군,81420
함평군,30948
영광군,49670
장성군,41663
완도군,48332
진도군,29432
신안군,35592
포항시,506909
경주시,262264
김천시,140765
안동시,165704
구미시,423003
영주시,108443
영천시,97675
상주시,98189
문경시,70016
경산시,282626
군위군,22230
의성군,50082
청송군,24441
영양군,16579
영덕군,36148
청도군,41278
고령군,33094
성주군,41225
칠곡군,121778
예천군,46321
봉화군,31082
울진군,48504
울릉군,8702
창원시,1045559
진주시,353209
통영시,132962
사천시,111655
김해시,536456
밀양시,103894
거제시,257847
양산시,332596
의령군,26292
함안군,67906
창녕군,62544
고성군,52439
남해군,42986
하동군,43441
산청군,34033
함양군,37942
거창군,60083
합천군,43449
제주시,472399
서귀포시,169358
