"시군구별(1)",시군구별(2),2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"시군구별(1)",시군구별(2),계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실,계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시군구별(1)",시군구별(2),소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계,소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시군구별(1)",시군구별(2),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소)
"전체",소계,182384,715064,168782,636253,42808,58375,125945,577678,29,200,10395,63966,181,234,10214,63732,1009,10588,852,8719,157,1869,1945,3860,253,397,183013,716292,169293,637098,43119,58762,126158,578232,16,104,10468,64046,183,239,10285,63807,970,10696,815,8807,155,1889,2025,4051,257,401
"서울",소계,25801,89859,24364,82719,6941,8641,17396,73882,27,196,629,3519,64,99,565,3420,254,2567,209,2005,45,562,429,855,125,199,25900,89744,24388,82419,7006,8736,17368,73583,14,100,648,3576,63,98,585,3478,260,2592,214,2017,46,575,475,954,129,203
"서울",강남구,3269,8764,3195,8382,1330,1615,1865,6767,0,0,11,32,1,1,10,31,19,287,15,184,4,103,28,37,16,26,3231,8637,3159,8264,1324,1615,1835,6649,0,0,11,32,1,1,10,31,16,277,12,174,4,103,29,38,16,26
"서울",강동구,1540,5784,1464,5435,340,459,1124,4976,0,0,23,109,0,0,23,109,9,143,7,123,2,20,42,95,2,2,1589,5949,1514,5606,355,476,1159,5130,0,0,23,109,0,0,23,109,8,137,6,117,2,20,42,95,2,2
"서울",강서구,1504,4631,1397,4353,367,479,1030,3874,0,0,39,190,0,0,39,190,62,82,61,76,1,6,6,6,0,0,1560,4729,1442,4430,383,501,1059,3929,0,0,41,197,0,0,41,197,65,90,61,76,4,14,8,8,4,4
"서울",관악구,710,2425,702,2393,197,270,505,2123,0,0,0,0,0,0,0,0,2,26,2,26,0,0,6,6,0,0,720,2459,711,2423,198,271,513,2152,0,0,0,0,0,0,0,0,2,26,2,26,0,0,7,10,0,0
"서울",구로구,1207,4744,1154,4424,297,399,857,4025,0,0,35,201,0,0,35,201,5,94,4,74,1,20,9,15,4,10,1158,4433,1104,4102,304,398,800,3704,0,0,35,201,0,0,35,201,6,105,5,85,1,20,9,15,4,10
