"행정구역별(시군구)","성별",2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별",취업인구(15세 이상)-계,임금 근로자,고용원이 없는 자영업자,고용원이 있는 자영업자,무급 가족 종사자,미상
"전국","계",23870022,17283025,3974218,1580271,1032508,
"전국","남자",14044168,10012005,2712499,1142181,177483,
"전국","여자",9825854,7271020,1261719,438090,855025,
"동부","계",19190834,14704246,2632382,1363687,490519,
"동부","남자",11285631,8453622,1750697,985006,96306,
"동부","여자",7905203,6250624,881685,378681,394213,
"읍부","계",2185330,1470368,451167,120514,143281,
"읍부","남자",1308155,882586,316490,87402,21677,
"읍부","여자",877175,587782,134677,33112,121604,
"면부","계",2493858,1108411,890669,96070,398708,
"면부","남자",1450382,675797,645312,69773,59500,
"면부","여자",1043476,432614,245357,26297,339208,
"서울특별시","계",4704568,3643562,602651,360585,97770,
"서울특별시","남자",2676084,1997273,397116,260127,21568,
"서울특별시","여자",2028484,1646289,205535,100458,76202,
"종로구","계",72265,51281,11760,6552,2672,
"종로구","남자",39675,27029,7442,4644,560,
"종로구","여자",32590,24252,4318,1908,2112,
"중구","계",59861,42245,9914,5241,2461,
"중구","남자",33744,23229,6381,3620,514,
"중구","여자",26117,19016,3533,1621,1947,
"용산구","계",106678,78986,15055,10136,2501,
"용산구","남자",59924,43234,9139,6980,571,
"용산구","여자",46754,35752,5916,3156,1930,
"성동구","계",144719,110087,18389,12048,4195,
"성동구","남자",82253,60690,12010,8522,1031,
"성동구","여자",62466,49397,6379,3526,3164,
"광진구","계",181481,143001,22022,12965,3493,
"광진구","남자",100712,75887,14424,9728,673,
"광진구","여자",80769,67114,7598,3237,2820,
"동대문구","계",167533,123553,26352,12935,4693,
"동대문구","남자",95613,67381,18033,9338,861,
"동대문구","여자",71920,56172,8319,3597,3832,
"중랑구","계",201743,155878,28800,11757,5308,
"중랑구","남자",116003,85758,20539,8530,1176,
"중랑구","여자",85740,70120,8261,3227,4132,
"성북구","계",210715,158584,30424,15544,6163,
"성북구","남자",119363,86254,20515,11363,1231,
"성북구","여자",91352,72330,9909,4181,4932,
"강북구","계",151430,116636,22011,9235,3548,
"강북구","남자",85573,63722,14780,6435,636,
"강북구","여자",65857,52914,7231,2800,2912,
"도봉구","계",158846,120308,24128,11003,3407,
"도봉구","남자",91827,66195,16806,8117,709,
"도봉구","여자",67019,54113,7322,2886,2698,
"노원구","계",252322,199906,31374,16602,4440,
"노원구","남자",145284,111031,21101,12073,1079,
"노원구","여자",107038,88875,10273,4529,3361,
"은평구","계",228374,178481,31114,14549,4230,
"은평구","남자",128894,96932,20755,10311,896,
"은평구","여자",99480,81549,10359,4238,3334,
"서대문구","계",142557,109431,20069,9845,3212,
"서대문구","남자",78875,58323,12952,6925,675,
"서대문구","여자",63682,51108,7117,2920,2537,
"마포구","계",187115,145761,23660,14157,3537,
"마포구","남자",102186,77188,14683,9640,675,
"마포구","여자",84929,68573,8977,4517,2862,
"양천구","계",219117,167839,27978,19016,4284,
"양천구","남자",127733,93228,19056,14462,987,
"양천구","여자",91384,74611,8922,4554,3297,
"강서구","계",280164,224028,34376,17134,4626,
"강서구","남자",159043,123018,23072,11929,1024,
"강서구","여자",121121,101010,11304,5205,3602,
"구로구","계",204936,161713,25002,14093,4128,
"구로구","남자",118886,90456,17001,10538,891,
"구로구","여자",86050,71257,8001,3555,3237,
"금천구","계",119876,95711,14267,7003,2895,
"금천구","남자",69752,54132,9772,5182,666,
"금천구","여자",50124,41579,4495,1821,2229,
"영등포구","계",185518,147161,21339,13481,3537,
"영등포구","남자",107103,82431,14039,9778,855,
"영등포구","여자",78415,64730,7300,3703,2682,
"동작구","계",192677,153992,22200,13124,3361,
"동작구","남자",107798,83661,14346,9032,759,
"동작구","여자",84879,70331,7854,4092,2602,
"관악구","계",258981,211070,30318,13636,3957,
"관악구","남자",145827,115473,20012,9277,1065,
"관악구","여자",113154,95597,10306,4359,2892,
"서초구","계",196572,148079,20444,25016,3033,
"서초구","남자",113233,81771,12287,18521,654,
"서초구","여자",83339,66308,8157,6495,2379,
"강남구","계",255532,192084,27503,32244,3701,
"강남구","남자",144738,104459,15740,23691,848,
"강남구","여자",110794,87625,11763,8553,2853,
"송파구","계",307353,238288,35165,28338,5562,
"송파구","남자",176688,131847,22615,20760,1466,
"송파구","여자",130665,106441,12550,7578,4096,
"강동구","계",218203,169459,28987,14931,4826,
"강동구","남자",125357,93944,19616,10731,1066,
"강동구","여자",92846,75515,9371,4200,3760,
"부산광역시","계",1525412,1145384,222655,110742,46631,
"부산광역시","남자",893610,655835,148017,81858,7900,
"부산광역시","여자",631802,489549,74638,28884,38731,
"동부","계",1461139,1098221,211973,106820,44125,
"동부","남자",854391,626474,141262,79113,7542,
"동부","여자",606748,471747,70711,27707,36583,
"읍부","계",56815,42778,8588,3413,2036,
"읍부","남자",34884,26788,5376,2402,318,
"읍부","여자",21931,15990,3212,1011,1718,
"면부","계",7458,4385,2094,509,470,
"면부","남자",4335,2573,1379,343,40,
"면부","여자",3123,1812,715,166,430,
"중구","계",20930,14284,3987,1591,1068,
"중구","남자",11550,7940,2437,991,182,
"중구","여자",9380,6344,1550,600,886,
"서구","계",47905,35156,7599,3504,1646,
"서구","남자",27093,19556,4795,2479,263,
"서구","여자",20812,15600,2804,1025,1383,
"동구","계",38928,28452,6812,2100,1564,
"동구","남자",22402,16256,4485,1424,237,
"동구","여자",16526,12196,2327,676,1327,
"영도구","계",52186,39336,8047,3023,1780,
"영도구","남자",30923,23077,5303,2145,398,
"영도구","여자",21263,16259,2744,878,1382,
"부산진구","계",170817,128377,25422,11830,5188,
"부산진구","남자",97868,71125,17010,8860,873,
"부산진구","여자",72949,57252,8412,2970,4315,
"동래구","계",120030,89532,17896,9204,3398,
"동래구","남자",69805,50539,11770,6856,640,
"동래구","여자",50225,38993,6126,2348,2758,
"남구","계",120456,89909,18217,8955,3375,
"남구","남자",70576,51158,12236,6649,533,
"남구","여자",49880,38751,5981,2306,2842,
"북구","계",131488,101324,17615,9080,3469,
"북구","남자",78337,58752,12177,6875,533,
"북구","여자",53151,42572,5438,2205,2936,
"해운대구","계",178412,133624,24416,16333,4039,
"해운대구","남자",104821,76221,15738,12147,715,
"해운대구","여자",73591,57403,8678,4186,3324,
"사하구","계",152160,118161,20678,9206,4115,
"사하구","남자",90345,69016,13704,6824,801,
"사하구","여자",61815,49145,6974,2382,3314,
"금정구","계",105469,79630,14856,8143,2840,
"금정구","남자",60947,44558,10031,5911,447,
"금정구","여자",44522,35072,4825,2232,2393,
"강서구","계",42763,27978,7724,3738,3323,
"강서구","남자",26899,18024,5619,2837,419,
"강서구","여자",15864,9954,2105,901,2904,
"연제구","계",91334,69591,12297,7037,2409,
"연제구","남자",52504,38733,8062,5265,444,
"연제구","여자",38830,30858,4235,1772,1965,
"수영구","계",78636,58176,11945,6231,2284,
"수영구","남자",44572,31992,7585,4523,472,
"수영구","여자",34064,26184,4360,1708,1812,
"사상구","계",109625,84691,14462,6845,3627,
"사상구","남자",65749,49527,10310,5327,585,
"사상구","여자",43876,35164,4152,1518,3042,
"기장군","계",64273,47163,10682,3922,2506,
"기장군","남자",39219,29361,6755,2745,358,
"기장군","여자",25054,17802,3927,1177,2148,
"대구광역시","계",1081625,785658,175161,85928,34878,
"대구광역시","남자",638873,445750,121568,65482,6073,
"대구광역시","여자",442752,339908,53593,20446,28805,
"동부","계",994187,723260,159442,80707,30778,
"동부","남자",585444,408497,110012,61454,5481,
"동부","여자",408743,314763,49430,19253,25297,
"읍부","계",62739,46731,9973,4095,1940,
"읍부","남자",38451,27740,7275,3162,274,
"읍부","여자",24288,18991,2698,933,1666,
"면부","계",24699,15667,5746,1126,2160,
"면부","남자",14978,9513,4281,866,318,
"면부","여자",9721,6154,1465,260,1842,
"중구","계",35942,24444,6618,3176,1704,
"중구","남자",19969,13124,4251,2263,331,
"중구","여자",15973,11320,2367,913,1373,
"동구","계",147807,108364,25370,9410,4663,
"동구","남자",87618,62306,17539,6928,845,
"동구","여자",60189,46058,7831,2482,3818,
"서구","계",92567,68827,15781,4838,3121,
"서구","남자",54596,39390,11092,3566,548,
"서구","여자",37971,29437,4689,1272,2573,
"남구","계",67827,49980,11817,4136,1894,
"남구","남자",38697,27363,8054,2976,304,
"남구","여자",29130,22617,3763,1160,1590,
"북구","계",198867,143933,33269,14929,6736,
"북구","남자",118156,81379,24031,11697,1049,
"북구","여자",80711,62554,9238,3232,5687,
"수성구","계",182532,128740,26519,22003,5270,
"수성구","남자",106782,71462,17138,17212,970,
"수성구","여자",75750,57278,9381,4791,4300,
"달서구","계",268645,198972,40068,22215,7390,
"달서구","남자",159626,113473,27907,16812,1434,
"달서구","여자",109019,85499,12161,5403,5956,
"달성군","계",87438,62398,15719,5221,4100,
"달성군","남자",53429,37253,11556,4028,592,
"달성군","여자",34009,25145,4163,1193,3508,
"인천광역시","계",1363924,1054601,187622,89057,32644,
"인천광역시","남자",811084,611998,127234,64530,7322,
"인천광역시","여자",552840,442603,60388,24527,25322,
"동부","계",1319539,1031901,173358,87181,27099,
"동부","남자",785225,598679,117037,63168,6341,
"동부","여자",534314,433222,56321,24013,20758,
"읍부","계",9562,6786,1894,443,439,
"읍부","남자",5488,3729,1322,352,85,
"읍부","여자",4074,3057,572,91,354,
"면부","계",34823,15914,12370,1433,5106,
"면부","남자",20371,9590,8875,1010,896,
"면부","여자",14452,6324,3495,423,4210,
"중구","계",53409,40505,8054,3461,1389,
"중구","남자",32814,24826,5252,2344,392,
"중구","여자",20595,15679,2802,1117,997,
"동구","계",32729,25878,4556,1621,674,
"동구","남자",19452,15188,2980,1147,137,
"동구","여자",13277,10690,1576,474,537,
"남구","계",186612,146363,26601,9675,3973,
"남구","남자",111020,84697,18360,6931,1032,
"남구","여자",75592,61666,8241,2744,2941,
"연수구","계",145270,111792,16722,13616,3140,
"연수구","남자",86807,65121,10694,10248,744,
"연수구","여자",58463,46671,6028,3368,2396,
"남동구","계",248999,195797,31493,16923,4786,
"남동구","남자",147710,113409,21006,12164,1131,
"남동구","여자",101289,82388,10487,4759,3655,
"부평구","계",258191,203463,33524,16099,5105,
"부평구","남자",150869,115921,22302,11505,1141,
"부평구","여자",107322,87542,11222,4594,3964,
"계양구","계",161330,126090,22064,9825,3351,
"계양구","남자",94848,71554,15493,7028,773,
"계양구","여자",66482,54536,6571,2797,2578,
"서구","계",232999,182013,30344,15961,4681,
"서구","남자",141705,107963,20950,11801,991,
"서구","여자",91294,74050,9394,4160,3690,
"강화군","계",32703,14764,11775,1432,4732,
"강화군","남자",18520,8165,8484,1080,791,
"강화군","여자",14183,6599,3291,352,3941,
"옹진군","계",11682,7936,2489,444,813,
"옹진군","남자",7339,5154,1713,282,190,
"옹진군","여자",4343,2782,776,162,623,
"광주광역시","계",649556,485087,98515,47511,18443,
"광주광역시","남자",378690,274179,66900,34382,3229,
"광주광역시","여자",270866,210908,31615,13129,15214,
"동구","계",41737,29235,7891,2903,1708,
"동구","남자",23759,16049,5380,2019,311,
"동구","여자",17978,13186,2511,884,1397,
"서구","계",135160,101067,19105,11726,3262,
"서구","남자",78614,56696,12765,8690,463,
"서구","여자",56546,44371,6340,3036,2799,
"남구","계",94875,69698,15357,6779,3041,
"남구","남자",53236,37728,10138,4786,584,
"남구","여자",41639,31970,5219,1993,2457,
"북구","계",197477,147052,30494,14191,5740,
"북구","남자",115038,82582,20997,10320,1139,
"북구","여자",82439,64470,9497,3871,4601,
"광산구","계",180307,138035,25668,11912,4692,
"광산구","남자",108043,81124,17620,8567,732,
"광산구","여자",72264,56911,8048,3345,3960,
"대전광역시","계",686900,527264,96263,45118,18255,
"대전광역시","남자",403407,304041,63838,31865,3663,
"대전광역시","여자",283493,223223,32425,13253,14592,
"동구","계",105242,78737,17224,5917,3364,
"동구","남자",62419,45642,11981,4134,662,
"동구","여자",42823,33095,5243,1783,2702,
"중구","계",111192,82405,18234,7265,3288,
"중구","남자",64248,45870,12337,5325,716,
"중구","여자",46944,36535,5897,1940,2572,
"서구","계",224234,174365,29546,14597,5726,
"서구","남자",128277,97486,19383,10273,1135,
"서구","여자",95957,76879,10163,4324,4591,
"유성구","계",156596,123745,17269,12107,3475,
"유성구","남자",94716,75144,10394,8398,780,
"유성구","여자",61880,48601,6875,3709,2695,
"대덕구","계",89636,68012,13990,5232,2402,
"대덕구","남자",53747,39899,9743,3735,370,
"대덕구","여자",35889,28113,4247,1497,2032,
"울산광역시","계",544141,434842,66285,30199,12815,
"울산광역시","남자",350844,288362,39838,20299,2345,
"울산광역시","여자",193297,146480,26447,9900,10470,
"동부","계",443112,359885,49530,25147,8550,
"동부","남자",287160,239656,28925,16807,1772,
"동부","여자",155952,120229,20605,8340,6778,
"읍부","계",68746,53409,9741,3514,2082,
"읍부","남자",43924,35072,6131,2436,285,
"읍부","여자",24822,18337,3610,1078,1797,
"면부","계",32283,21548,7014,1538,2183,
"면부","남자",19760,13634,4782,1056,288,
"면부","여자",12523,7914,2232,482,1895,
