"행정구역별(시군구)","직업별","항목","단위","2015 년",
"전국","계","취업인구-현거주지","","23870022",
"전국","계","취업인구-근무지","","23870022",
"전국","계","남-현거주지","","14044168",
"전국","계","남-근무지","","14044168",
"전국","계","여-현거주지","","9825854",
"전국","계","여-근무지","","9825854",
"전국","1. 관리자","취업인구-현거주지","","351993",
"전국","1. 관리자","취업인구-근무지","","351993",
"전국","1. 관리자","남-현거주지","","284196",
"전국","1. 관리자","남-근무지","","284196",
"전국","1. 관리자","여-현거주지","","67797",
"전국","1. 관리자","여-근무지","","67797",
"전국","2. 전문가 및 관련 종사자","취업인구-현거주지","","4967630",
"전국","2. 전문가 및 관련 종사자","취업인구-근무지","","4967630",
"전국","2. 전문가 및 관련 종사자","남-현거주지","","2542586",
"전국","2. 전문가 및 관련 종사자","남-근무지","","2542586",
"전국","2. 전문가 및 관련 종사자","여-현거주지","","2425044",
"전국","2. 전문가 및 관련 종사자","여-근무지","","2425044",
"전국","3. 사무 종사자","취업인구-현거주지","","4116936",
"전국","3. 사무 종사자","취업인구-근무지","","4116936",
"전국","3. 사무 종사자","남-현거주지","","2222337",
"전국","3. 사무 종사자","남-근무지","","2222337",
"전국","3. 사무 종사자","여-현거주지","","1894599",
"전국","3. 사무 종사자","여-근무지","","1894599",
"전국","4. 서비스 종사자","취업인구-현거주지","","2529984",
"전국","4. 서비스 종사자","취업인구-근무지","","2529984",
"전국","4. 서비스 종사자","남-현거주지","","939665",
"전국","4. 서비스 종사자","남-근무지","","939665",
"전국","4. 서비스 종사자","여-현거주지","","1590319",
"전국","4. 서비스 종사자","여-근무지","","1590319",
"전국","5. 판매 종사자","취업인구-현거주지","","2801270",
"전국","5. 판매 종사자","취업인구-근무지","","2801270",
"전국","5. 판매 종사자","남-현거주지","","1456171",
"전국","5. 판매 종사자","남-근무지","","1456171",
"전국","5. 판매 종사자","여-현거주지","","1345099",
"전국","5. 판매 종사자","여-근무지","","1345099",
"전국","6. 농림어업 숙련 종사자","취업인구-현거주지","","1233295",
"전국","6. 농림어업 숙련 종사자","취업인구-근무지","","1233295",
"전국","6. 농림어업 숙련 종사자","남-현거주지","","700247",
"전국","6. 농림어업 숙련 종사자","남-근무지","","700247",
"전국","6. 농림어업 숙련 종사자","여-현거주지","","533048",
"전국","6. 농림어업 숙련 종사자","여-근무지","","533048",
"전국","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","2208452",
"전국","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","2208452",
"전국","7. 기능원 및 관련 기능 종사자","남-현거주지","","1854823",
"전국","7. 기능원 및 관련 기능 종사자","남-근무지","","1854823",
"전국","7. 기능원 및 관련 기능 종사자","여-현거주지","","353629",
"전국","7. 기능원 및 관련 기능 종사자","여-근무지","","353629",
"전국","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","2933984",
"전국","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","2933984",
"전국","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","2405449",
"전국","8. 장치, 기계조작 및 조립 종사자","남-근무지","","2405449",
"전국","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","528535",
"전국","8. 장치, 기계조작 및 조립 종사자","여-근무지","","528535",
"전국","9. 단순 노무 종사자","취업인구-현거주지","","2620108",
"전국","9. 단순 노무 종사자","취업인구-근무지","","2620108",
"전국","9. 단순 노무 종사자","남-현거주지","","1537884",
"전국","9. 단순 노무 종사자","남-근무지","","1537884",
"전국","9. 단순 노무 종사자","여-현거주지","","1082224",
"전국","9. 단순 노무 종사자","여-근무지","","1082224",
"전국","A. 기타","취업인구-현거주지","","106370",
"전국","A. 기타","취업인구-근무지","","106370",
"전국","A. 기타","남-현거주지","","100810",
"전국","A. 기타","남-근무지","","100810",
"전국","A. 기타","여-현거주지","","5560",
"전국","A. 기타","여-근무지","","5560",
"동부","계","취업인구-현거주지","","19190834",
"동부","계","취업인구-근무지","","17644512",
"동부","계","남-현거주지","","11285631",
"동부","계","남-근무지","","10180888",
"동부","계","여-현거주지","","7905203",
"동부","계","여-근무지","","7463624",
"동부","1. 관리자","취업인구-현거주지","","322670",
"동부","1. 관리자","취업인구-근무지","","287725",
"동부","1. 관리자","남-현거주지","","260585",
"동부","1. 관리자","남-근무지","","232169",
"동부","1. 관리자","여-현거주지","","62085",
"동부","1. 관리자","여-근무지","","55556",
"동부","2. 전문가 및 관련 종사자","취업인구-현거주지","","4418946",
"동부","2. 전문가 및 관련 종사자","취업인구-근무지","","4209296",
"동부","2. 전문가 및 관련 종사자","남-현거주지","","2273412",
"동부","2. 전문가 및 관련 종사자","남-근무지","","2131499",
"동부","2. 전문가 및 관련 종사자","여-현거주지","","2145534",
"동부","2. 전문가 및 관련 종사자","여-근무지","","2077797",
"동부","3. 사무 종사자","취업인구-현거주지","","3588726",
"동부","3. 사무 종사자","취업인구-근무지","","3246248",
"동부","3. 사무 종사자","남-현거주지","","1931056",
"동부","3. 사무 종사자","남-근무지","","1713419",
"동부","3. 사무 종사자","여-현거주지","","1657670",
"동부","3. 사무 종사자","여-근무지","","1532829",
"동부","4. 서비스 종사자","취업인구-현거주지","","2084941",
"동부","4. 서비스 종사자","취업인구-근무지","","1970474",
"동부","4. 서비스 종사자","남-현거주지","","786001",
"동부","4. 서비스 종사자","남-근무지","","733702",
"동부","4. 서비스 종사자","여-현거주지","","1298940",
"동부","4. 서비스 종사자","여-근무지","","1236772",
"동부","5. 판매 종사자","취업인구-현거주지","","2457981",
"동부","5. 판매 종사자","취업인구-근무지","","2363467",
"동부","5. 판매 종사자","남-현거주지","","1281717",
"동부","5. 판매 종사자","남-근무지","","1214682",
"동부","5. 판매 종사자","여-현거주지","","1176264",
"동부","5. 판매 종사자","여-근무지","","1148785",
"동부","6. 농림어업 숙련 종사자","취업인구-현거주지","","184871",
"동부","6. 농림어업 숙련 종사자","취업인구-근무지","","139231",
"동부","6. 농림어업 숙련 종사자","남-현거주지","","115284",
"동부","6. 농림어업 숙련 종사자","남-근무지","","84856",
"동부","6. 농림어업 숙련 종사자","여-현거주지","","69587",
"동부","6. 농림어업 숙련 종사자","여-근무지","","54375",
"동부","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","1827843",
"동부","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","1656965",
"동부","7. 기능원 및 관련 기능 종사자","남-현거주지","","1529996",
"동부","7. 기능원 및 관련 기능 종사자","남-근무지","","1377621",
"동부","7. 기능원 및 관련 기능 종사자","여-현거주지","","297847",
"동부","7. 기능원 및 관련 기능 종사자","여-근무지","","279344",
"동부","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","2300882",
"동부","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","1939489",
"동부","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","1897332",
"동부","8. 장치, 기계조작 및 조립 종사자","남-근무지","","1595748",
"동부","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","403550",
"동부","8. 장치, 기계조작 및 조립 종사자","여-근무지","","343741",
"동부","9. 단순 노무 종사자","취업인구-현거주지","","1943724",
"동부","9. 단순 노무 종사자","취업인구-근무지","","1784164",
"동부","9. 단순 노무 종사자","남-현거주지","","1153356",
"동부","9. 단순 노무 종사자","남-근무지","","1052456",
"동부","9. 단순 노무 종사자","여-현거주지","","790368",
"동부","9. 단순 노무 종사자","여-근무지","","731708",
"동부","A. 기타","취업인구-현거주지","","60250",
"동부","A. 기타","취업인구-근무지","","47453",
"동부","A. 기타","남-현거주지","","56892",
"동부","A. 기타","남-근무지","","44736",
"동부","A. 기타","여-현거주지","","3358",
"동부","A. 기타","여-근무지","","2717",
"읍부","계","취업인구-현거주지","","2185330",
"읍부","계","취업인구-근무지","","2327221",
"읍부","계","남-현거주지","","1308155",
"읍부","계","남-근무지","","1455171",
"읍부","계","여-현거주지","","877175",
"읍부","계","여-근무지","","872050",
"읍부","1. 관리자","취업인구-현거주지","","17362",
"읍부","1. 관리자","취업인구-근무지","","22176",
"읍부","1. 관리자","남-현거주지","","13891",
"읍부","1. 관리자","남-근무지","","18357",
"읍부","1. 관리자","여-현거주지","","3471",
"읍부","1. 관리자","여-근무지","","3819",
"읍부","2. 전문가 및 관련 종사자","취업인구-현거주지","","327325",
"읍부","2. 전문가 및 관련 종사자","취업인구-근무지","","360104",
"읍부","2. 전문가 및 관련 종사자","남-현거주지","","157879",
"읍부","2. 전문가 및 관련 종사자","남-근무지","","186811",
"읍부","2. 전문가 및 관련 종사자","여-현거주지","","169446",
"읍부","2. 전문가 및 관련 종사자","여-근무지","","173293",
"읍부","3. 사무 종사자","취업인구-현거주지","","324780",
"읍부","3. 사무 종사자","취업인구-근무지","","352346",
"읍부","3. 사무 종사자","남-현거주지","","180239",
