"체류자격별","성별","행정구역(시군구)별","항목","단위","2019 년",
"총계","계","총계","지역 및 체류자격별 등록외국인 현황","명","1271807",
"총계","계","서울특별시","지역 및 체류자격별 등록외국인 현황","명","281876",
"총계","계","강남구","지역 및 체류자격별 등록외국인 현황","명","5040",
"총계","계","강동구","지역 및 체류자격별 등록외국인 현황","명","4323",
"총계","계","강북구","지역 및 체류자격별 등록외국인 현황","명","3741",
"총계","계","강서구","지역 및 체류자격별 등록외국인 현황","명","6477",
"총계","계","관악구","지역 및 체류자격별 등록외국인 현황","명","17240",
"총계","계","광진구","지역 및 체류자격별 등록외국인 현황","명","15622",
"총계","계","구로구","지역 및 체류자격별 등록외국인 현황","명","32707",
"총계","계","금천구","지역 및 체류자격별 등록외국인 현황","명","19010",
"총계","계","노원구","지역 및 체류자격별 등록외국인 현황","명","4398",
"총계","계","도봉구","지역 및 체류자격별 등록외국인 현황","명","2269",
"총계","계","동대문구","지역 및 체류자격별 등록외국인 현황","명","16829",
"총계","계","동작구","지역 및 체류자격별 등록외국인 현황","명","12949",
"총계","계","마포구","지역 및 체류자격별 등록외국인 현황","명","11890",
"총계","계","서대문구","지역 및 체류자격별 등록외국인 현황","명","13774",
"총계","계","서초구","지역 및 체류자격별 등록외국인 현황","명","4281",
"총계","계","성동구","지역 및 체류자격별 등록외국인 현황","명","8090",
"총계","계","성북구","지역 및 체류자격별 등록외국인 현황","명","12094",
"총계","계","송파구","지역 및 체류자격별 등록외국인 현황","명","6780",
"총계","계","양천구","지역 및 체류자격별 등록외국인 현황","명","4120",
"총계","계","영등포구","지역 및 체류자격별 등록외국인 현황","명","33308",
"총계","계","용산구","지역 및 체류자격별 등록외국인 현황","명","16515",
"총계","계","은평구","지역 및 체류자격별 등록외국인 현황","명","4514",
"총계","계","종로구","지역 및 체류자격별 등록외국인 현황","명","10579",
"총계","계","중구","지역 및 체류자격별 등록외국인 현황","명","10317",
"총계","계","중랑구","지역 및 체류자격별 등록외국인 현황","명","5009",
"총계","계","부산광역시","지역 및 체류자격별 등록외국인 현황","명","45999",
"총계","계","강서구","지역 및 체류자격별 등록외국인 현황","명","5126",
"총계","계","금정구","지역 및 체류자격별 등록외국인 현황","명","4473",
"총계","계","기장군","지역 및 체류자격별 등록외국인 현황","명","1963",
"총계","계","남구","지역 및 체류자격별 등록외국인 현황","명","5931",
"총계","계","동구","지역 및 체류자격별 등록외국인 현황","명","1794",
"총계","계","동래구","지역 및 체류자격별 등록외국인 현황","명","967",
"총계","계","부산진구","지역 및 체류자격별 등록외국인 현황","명","2661",
"총계","계","북구","지역 및 체류자격별 등록외국인 현황","명","2280",
