"행정구역별","연령별","항목","단위","2010 년",
"서울특별시","합계","내국인(15세이상)-계","","8276179",
"서울특별시","합계","내국인-미혼","","2952687",
"서울특별시","합계","내국인-배우자있음","","4492568",
"서울특별시","합계","내국인-사별","","495075",
"서울특별시","합계","내국인-이혼","","335849",
"서울특별시","합계","남자(15세이상)-계","","4025875",
"서울특별시","합계","남자-미혼","","1592218",
"서울특별시","합계","남자-배우자있음","","2227249",
"서울특별시","합계","남자-사별","","68436",
"서울특별시","합계","남자-이혼","","137972",
"서울특별시","합계","여자(15세이상)-계","","4250304",
"서울특별시","합계","여자-미혼","","1360469",
"서울특별시","합계","여자-배우자있음","","2265319",
"서울특별시","합계","여자-사별","","426639",
"서울특별시","합계","여자-이혼","","197877",
"서울특별시","15~19세","내국인(15세이상)-계","","635237",
"서울특별시","15~19세","내국인-미혼","","633633",
"서울특별시","15~19세","내국인-배우자있음","","1406",
"서울특별시","15~19세","내국인-사별","","55",
"서울특별시","15~19세","내국인-이혼","","143",
"서울특별시","15~19세","남자(15세이상)-계","","332292",
"서울특별시","15~19세","남자-미혼","","331506",
"서울특별시","15~19세","남자-배우자있음","","675",
"서울특별시","15~19세","남자-사별","","31",
"서울특별시","15~19세","남자-이혼","","80",
"서울특별시","15~19세","여자(15세이상)-계","","302945",
"서울특별시","15~19세","여자-미혼","","302127",
"서울특별시","15~19세","여자-배우자있음","","731",
"서울특별시","15~19세","여자-사별","","24",
"서울특별시","15~19세","여자-이혼","","63",
"서울특별시","20~24세","내국인(15세이상)-계","","684026",
"서울특별시","20~24세","내국인-미혼","","674849",
"서울특별시","20~24세","내국인-배우자있음","","8791",
"서울특별시","20~24세","내국인-사별","","51",
"서울특별시","20~24세","내국인-이혼","","335",
"서울특별시","20~24세","남자(15세이상)-계","","339766",
"서울특별시","20~24세","남자-미혼","","337446",
"서울특별시","20~24세","남자-배우자있음","","2188",
"서울특별시","20~24세","남자-사별","","15",
"서울특별시","20~24세","남자-이혼","","117",
"서울특별시","20~24세","여자(15세이상)-계","","344260",
"서울특별시","20~24세","여자-미혼","","337403",
"서울특별시","20~24세","여자-배우자있음","","6603",
"서울특별시","20~24세","여자-사별","","36",
"서울특별시","20~24세","여자-이혼","","218",
"서울특별시","25~29세","내국인(15세이상)-계","","898900",
"서울특별시","25~29세","내국인-미혼","","766914",
"서울특별시","25~29세","내국인-배우자있음","","129261",
"서울특별시","25~29세","내국인-사별","","191",
"서울특별시","25~29세","내국인-이혼","","2534",
"서울특별시","25~29세","남자(15세이상)-계","","439024",
"서울특별시","25~29세","남자-미혼","","398220",
"서울특별시","25~29세","남자-배우자있음","","40007",
"서울특별시","25~29세","남자-사별","","63",
"서울특별시","25~29세","남자-이혼","","734",
"서울특별시","25~29세","여자(15세이상)-계","","459876",
"서울특별시","25~29세","여자-미혼","","368694",
"서울특별시","25~29세","여자-배우자있음","","89254",
"서울특별시","25~29세","여자-사별","","128",
"서울특별시","25~29세","여자-이혼","","1800",
"서울특별시","30~34세","내국인(15세이상)-계","","857764",
"서울특별시","30~34세","내국인-미혼","","431847",
"서울특별시","30~34세","내국인-배우자있음","","414312",
"서울특별시","30~34세","내국인-사별","","761",
"서울특별시","30~34세","내국인-이혼","","10844",
"서울특별시","30~34세","남자(15세이상)-계","","430797",
"서울특별시","30~34세","남자-미혼","","253754",
"서울특별시","30~34세","남자-배우자있음","","173344",
"서울특별시","30~34세","남자-사별","","209",
"서울특별시","30~34세","남자-이혼","","3490",
"서울특별시","30~34세","여자(15세이상)-계","","426967",
"서울특별시","30~34세","여자-미혼","","178093",
"서울특별시","30~34세","여자-배우자있음","","240968",
"서울특별시","30~34세","여자-사별","","552",
"서울특별시","30~34세","여자-이혼","","7354",
"서울특별시","35~39세","내국인(15세이상)-계","","850730",
"서울특별시","35~39세","내국인-미혼","","224967",
"서울특별시","35~39세","내국인-배우자있음","","590671",
"서울특별시","35~39세","내국인-사별","","2827",
"서울특별시","35~39세","내국인-이혼","","32265",
"서울특별시","35~39세","남자(15세이상)-계","","429626",
"서울특별시","35~39세","남자-미혼","","139627",
"서울특별시","35~39세","남자-배우자있음","","277650",
"서울특별시","35~39세","남자-사별","","644",
"서울특별시","35~39세","남자-이혼","","11705",
"서울특별시","35~39세","여자(15세이상)-계","","421104",
"서울특별시","35~39세","여자-미혼","","85340",
"서울특별시","35~39세","여자-배우자있음","","313021",
"서울특별시","35~39세","여자-사별","","2183",
"서울특별시","35~39세","여자-이혼","","20560",
"서울특별시","40~44세","내국인(15세이상)-계","","797360",
"서울특별시","40~44세","내국인-미혼","","109227",
"서울특별시","40~44세","내국인-배우자있음","","625985",
"서울특별시","40~44세","내국인-사별","","7723",
"서울특별시","40~44세","내국인-이혼","","54425",
"서울특별시","40~44세","남자(15세이상)-계","","393950",
"서울특별시","40~44세","남자-미혼","","69074",
"서울특별시","40~44세","남자-배우자있음","","301938",
"서울특별시","40~44세","남자-사별","","1563",
"서울특별시","40~44세","남자-이혼","","21375",
"서울특별시","40~44세","여자(15세이상)-계","","403410",
"서울특별시","40~44세","여자-미혼","","40153",
"서울특별시","40~44세","여자-배우자있음","","324047",
"서울특별시","40~44세","여자-사별","","6160",
"서울특별시","40~44세","여자-이혼","","33050",
"서울특별시","45~49세","내국인(15세이상)-계","","784467",
"서울특별시","45~49세","내국인-미혼","","53614",
"서울특별시","45~49세","내국인-배우자있음","","645153",
"서울특별시","45~49세","내국인-사별","","17286",
"서울특별시","45~49세","내국인-이혼","","68414",
"서울특별시","45~49세","남자(15세이상)-계","","380404",
"서울특별시","45~49세","남자-미혼","","33889",
"서울특별시","45~49세","남자-배우자있음","","315524",
"서울특별시","45~49세","남자-사별","","3112",
"서울특별시","45~49세","남자-이혼","","27879",
"서울특별시","45~49세","여자(15세이상)-계","","404063",
"서울특별시","45~49세","여자-미혼","","19725",
"서울특별시","45~49세","여자-배우자있음","","329629",
"서울특별시","45~49세","여자-사별","","14174",
"서울특별시","45~49세","여자-이혼","","40535",
"서울특별시","50~54세","내국인(15세이상)-계","","777432",
"서울특별시","50~54세","내국인-미혼","","29882",
"서울특별시","50~54세","내국인-배우자있음","","643962",
"서울특별시","50~54세","내국인-사별","","34146",
"서울특별시","50~54세","내국인-이혼","","69442",
"서울특별시","50~54세","남자(15세이상)-계","","368872",
"서울특별시","50~54세","남자-미혼","","16605",
"서울특별시","50~54세","남자-배우자있음","","318026",
"서울특별시","50~54세","남자-사별","","5710",
"서울특별시","50~54세","남자-이혼","","28531",
"서울특별시","50~54세","여자(15세이상)-계","","408560",
"서울특별시","50~54세","여자-미혼","","13277",
"서울특별시","50~54세","여자-배우자있음","","325936",
"서울특별시","50~54세","여자-사별","","28436",
"서울특별시","50~54세","여자-이혼","","40911",
"서울특별시","55~59세","내국인(15세이상)-계","","592471",
"서울특별시","55~59세","내국인-미혼","","13589",
"서울특별시","55~59세","내국인-배우자있음","","489701",
"서울특별시","55~59세","내국인-사별","","44734",
"서울특별시","55~59세","내국인-이혼","","44447",
"서울특별시","55~59세","남자(15세이상)-계","","283140",
"서울특별시","55~59세","남자-미혼","","6661",
"서울특별시","55~59세","남자-배우자있음","","250440",
"서울특별시","55~59세","남자-사별","","6769",
"서울특별시","55~59세","남자-이혼","","19270",
"서울특별시","55~59세","여자(15세이상)-계","","309331",
"서울특별시","55~59세","여자-미혼","","6928",
"서울특별시","55~59세","여자-배우자있음","","239261",
"서울특별시","55~59세","여자-사별","","37965",
"서울특별시","55~59세","여자-이혼","","25177",
"서울특별시","60~64세","내국인(15세이상)-계","","468836",
"서울특별시","60~64세","내국인-미혼","","6631",
"서울특별시","60~64세","내국인-배우자있음","","374729",
"서울특별시","60~64세","내국인-사별","","60562",
"서울특별시","60~64세","내국인-이혼","","26914",
"서울특별시","60~64세","남자(15세이상)-계","","225186",
"서울특별시","60~64세","남자-미혼","","2884",
"서울특별시","60~64세","남자-배우자있음","","201009",
"서울특별시","60~64세","남자-사별","","8862",
"서울특별시","60~64세","남자-이혼","","12431",
"서울특별시","60~64세","여자(15세이상)-계","","243650",
"서울특별시","60~64세","여자-미혼","","3747",
"서울특별시","60~64세","여자-배우자있음","","173720",
"서울특별시","60~64세","여자-사별","","51700",
"서울특별시","60~64세","여자-이혼","","14483",
"서울특별시","65~69세","내국인(15세이상)-계","","362266",
"서울특별시","65~69세","내국인-미혼","","3599",
"서울특별시","65~69세","내국인-배우자있음","","270882",
"서울특별시","65~69세","내국인-사별","","72696",
"서울특별시","65~69세","내국인-이혼","","15089",
"서울특별시","65~69세","남자(15세이상)-계","","175236",
"서울특별시","65~69세","남자-미혼","","1394",
"서울특별시","65~69세","남자-배우자있음","","156085",
"서울특별시","65~69세","남자-사별","","10414",
"서울특별시","65~69세","남자-이혼","","7343",
"서울특별시","65~69세","여자(15세이상)-계","","187030",
"서울특별시","65~69세","여자-미혼","","2205",
"서울특별시","65~69세","여자-배우자있음","","114797",
"서울특별시","65~69세","여자-사별","","62282",
"서울특별시","65~69세","여자-이혼","","7746",
"서울특별시","70~74세","내국인(15세이상)-계","","263697",
"서울특별시","70~74세","내국인-미혼","","2063",
"서울특별시","70~74세","내국인-배우자있음","","173997",
"서울특별시","70~74세","내국인-사별","","80604",
"서울특별시","70~74세","내국인-이혼","","7033",
"서울특별시","70~74세","남자(15세이상)-계","","121030",
"서울특별시","70~74세","남자-미혼","","729",
"서울특별시","70~74세","남자-배우자있음","","106073",
"서울특별시","70~74세","남자-사별","","10824",
"서울특별시","70~74세","남자-이혼","","3404",
"서울특별시","70~74세","여자(15세이상)-계","","142667",
"서울특별시","70~74세","여자-미혼","","1334",
"서울특별시","70~74세","여자-배우자있음","","67924",
"서울특별시","70~74세","여자-사별","","69780",
"서울특별시","70~74세","여자-이혼","","3629",
"서울특별시","75~79세","내국인(15세이상)-계","","159797",
"서울특별시","75~79세","내국인-미혼","","1084",
"서울특별시","75~79세","내국인-배우자있음","","82250",
"서울특별시","75~79세","내국인-사별","","73807",
"서울특별시","75~79세","내국인-이혼","","2656",
"서울특별시","75~79세","남자(15세이상)-계","","63867",
"서울특별시","75~79세","남자-미혼","","298",
"서울특별시","75~79세","남자-배우자있음","","53742",
"서울특별시","75~79세","남자-사별","","8691",
"서울특별시","75~79세","남자-이혼","","1136",
"서울특별시","75~79세","여자(15세이상)-계","","95930",
"서울특별시","75~79세","여자-미혼","","786",
"서울특별시","75~79세","여자-배우자있음","","28508",
"서울특별시","75~79세","여자-사별","","65116",
"서울특별시","75~79세","여자-이혼","","1520",
"서울특별시","80~84세","내국인(15세이상)-계","","87286",
"서울특별시","80~84세","내국인-미혼","","465",
"서울특별시","80~84세","내국인-배우자있음","","29936",
"서울특별시","80~84세","내국인-사별","","55965",
"서울특별시","80~84세","내국인-이혼","","920",
"서울특별시","80~84세","남자(15세이상)-계","","27885",
"서울특별시","80~84세","남자-미혼","","84",
"서울특별시","80~84세","남자-배우자있음","","21448",
"서울특별시","80~84세","남자-사별","","6011",
"서울특별시","80~84세","남자-이혼","","342",
"서울특별시","80~84세","여자(15세이상)-계","","59401",
"서울특별시","80~84세","여자-미혼","","381",
"서울특별시","80~84세","여자-배우자있음","","8488",
"서울특별시","80~84세","여자-사별","","49954",
"서울특별시","80~84세","여자-이혼","","578",
"서울특별시","85세 이상","내국인(15세이상)-계","","55910",
"서울특별시","85세 이상","내국인-미혼","","323",
"서울특별시","85세 이상","내국인-배우자있음","","11532",
"서울특별시","85세 이상","내국인-사별","","43667",
"서울특별시","85세 이상","내국인-이혼","","388",
"서울특별시","85세 이상","남자(15세이상)-계","","14800",
"서울특별시","85세 이상","남자-미혼","","47",
"서울특별시","85세 이상","남자-배우자있음","","9100",
"서울특별시","85세 이상","남자-사별","","5518",
"서울특별시","85세 이상","남자-이혼","","135",
"서울특별시","85세 이상","여자(15세이상)-계","","41110",
"서울특별시","85세 이상","여자-미혼","","276",
"서울특별시","85세 이상","여자-배우자있음","","2432",
"서울특별시","85세 이상","여자-사별","","38149",
"서울특별시","85세 이상","여자-이혼","","253",
"종로구","합계","내국인(15세이상)-계","","132981",
"종로구","합계","내국인-미혼","","51605",
"종로구","합계","내국인-배우자있음","","66558",
"종로구","합계","내국인-사별","","9235",
"종로구","합계","내국인-이혼","","5583",
"종로구","합계","남자(15세이상)-계","","64882",
"종로구","합계","남자-미혼","","28084",
"종로구","합계","남자-배우자있음","","33040",
"종로구","합계","남자-사별","","1249",
"종로구","합계","남자-이혼","","2509",
"종로구","합계","여자(15세이상)-계","","68099",
"종로구","합계","여자-미혼","","23521",
"종로구","합계","여자-배우자있음","","33518",
"종로구","합계","여자-사별","","7986",
"종로구","합계","여자-이혼","","3074",
"종로구","15~19세","내국인(15세이상)-계","","10512",
"종로구","15~19세","내국인-미혼","","10489",
"종로구","15~19세","내국인-배우자있음","","21",
"종로구","15~19세","내국인-사별","","1",
"종로구","15~19세","내국인-이혼","","1",
"종로구","15~19세","남자(15세이상)-계","","5607",
"종로구","15~19세","남자-미혼","","5595",
"종로구","15~19세","남자-배우자있음","","11",
"종로구","15~19세","남자-사별","","1",
"종로구","15~19세","남자-이혼","","0",
"종로구","15~19세","여자(15세이상)-계","","4905",
"종로구","15~19세","여자-미혼","","4894",
"종로구","15~19세","여자-배우자있음","","10",
"종로구","15~19세","여자-사별","","0",
"종로구","15~19세","여자-이혼","","1",
"종로구","20~24세","내국인(15세이상)-계","","12483",
"종로구","20~24세","내국인-미혼","","12348",
"종로구","20~24세","내국인-배우자있음","","128",
"종로구","20~24세","내국인-사별","","2",
"종로구","20~24세","내국인-이혼","","5",
"종로구","20~24세","남자(15세이상)-계","","6182",
"종로구","20~24세","남자-미혼","","6142",
"종로구","20~24세","남자-배우자있음","","37",
"종로구","20~24세","남자-사별","","0",
"종로구","20~24세","남자-이혼","","3",
"종로구","20~24세","여자(15세이상)-계","","6301",
"종로구","20~24세","여자-미혼","","6206",
"종로구","20~24세","여자-배우자있음","","91",
"종로구","20~24세","여자-사별","","2",
"종로구","20~24세","여자-이혼","","2",
"종로구","25~29세","내국인(15세이상)-계","","14383",
"종로구","25~29세","내국인-미혼","","12808",
"종로구","25~29세","내국인-배우자있음","","1540",
"종로구","25~29세","내국인-사별","","1",
"종로구","25~29세","내국인-이혼","","34",
"종로구","25~29세","남자(15세이상)-계","","7497",
"종로구","25~29세","남자-미혼","","6962",
"종로구","25~29세","남자-배우자있음","","527",
"종로구","25~29세","남자-사별","","0",
"종로구","25~29세","남자-이혼","","8",
"종로구","25~29세","여자(15세이상)-계","","6886",
"종로구","25~29세","여자-미혼","","5846",
"종로구","25~29세","여자-배우자있음","","1013",
"종로구","25~29세","여자-사별","","1",
"종로구","25~29세","여자-이혼","","26",
"종로구","30~34세","내국인(15세이상)-계","","11382",
"종로구","30~34세","내국인-미혼","","6681",
"종로구","30~34세","내국인-배우자있음","","4551",
"종로구","30~34세","내국인-사별","","5",
"종로구","30~34세","내국인-이혼","","145",
"종로구","30~34세","남자(15세이상)-계","","5835",
"종로구","30~34세","남자-미혼","","3931",
"종로구","30~34세","남자-배우자있음","","1855",
"종로구","30~34세","남자-사별","","0",
"종로구","30~34세","남자-이혼","","49",
"종로구","30~34세","여자(15세이상)-계","","5547",
"종로구","30~34세","여자-미혼","","2750",
"종로구","30~34세","여자-배우자있음","","2696",
"종로구","30~34세","여자-사별","","5",
"종로구","30~34세","여자-이혼","","96",
"종로구","35~39세","내국인(15세이상)-계","","12016",
"종로구","35~39세","내국인-미혼","","3926",
"종로구","35~39세","내국인-배우자있음","","7555",
"종로구","35~39세","내국인-사별","","49",
"종로구","35~39세","내국인-이혼","","486",
"종로구","35~39세","남자(15세이상)-계","","5960",
"종로구","35~39세","남자-미혼","","2313",
"종로구","35~39세","남자-배우자있음","","3450",
"종로구","35~39세","남자-사별","","8",
"종로구","35~39세","남자-이혼","","189",
"종로구","35~39세","여자(15세이상)-계","","6056",
"종로구","35~39세","여자-미혼","","1613",
"종로구","35~39세","여자-배우자있음","","4105",
"종로구","35~39세","여자-사별","","41",
"종로구","35~39세","여자-이혼","","297",
"종로구","40~44세","내국인(15세이상)-계","","12184",
"종로구","40~44세","내국인-미혼","","2188",
"종로구","40~44세","내국인-배우자있음","","9055",
"종로구","40~44세","내국인-사별","","107",
"종로구","40~44세","내국인-이혼","","834",
"종로구","40~44세","남자(15세이상)-계","","5912",
"종로구","40~44세","남자-미혼","","1310",
"종로구","40~44세","남자-배우자있음","","4235",
"종로구","40~44세","남자-사별","","26",
"종로구","40~44세","남자-이혼","","341",
"종로구","40~44세","여자(15세이상)-계","","6272",
"종로구","40~44세","여자-미혼","","878",
"종로구","40~44세","여자-배우자있음","","4820",
"종로구","40~44세","여자-사별","","81",
"종로구","40~44세","여자-이혼","","493",
"종로구","45~49세","내국인(15세이상)-계","","12504",
"종로구","45~49세","내국인-미혼","","1338",
"종로구","45~49세","내국인-배우자있음","","9817",
"종로구","45~49세","내국인-사별","","279",
"종로구","45~49세","내국인-이혼","","1070",
"종로구","45~49세","남자(15세이상)-계","","6136",
"종로구","45~49세","남자-미혼","","852",
"종로구","45~49세","남자-배우자있음","","4768",
"종로구","45~49세","남자-사별","","38",
"종로구","45~49세","남자-이혼","","478",
"종로구","45~49세","여자(15세이상)-계","","6368",
"종로구","45~49세","여자-미혼","","486",
"종로구","45~49세","여자-배우자있음","","5049",
"종로구","45~49세","여자-사별","","241",
"종로구","45~49세","여자-이혼","","592",
"종로구","50~54세","내국인(15세이상)-계","","11764",
"종로구","50~54세","내국인-미혼","","808",
"종로구","50~54세","내국인-배우자있음","","9431",
"종로구","50~54세","내국인-사별","","447",
"종로구","50~54세","내국인-이혼","","1078",
"종로구","50~54세","남자(15세이상)-계","","5793",
"종로구","50~54세","남자-미혼","","464",
"종로구","50~54세","남자-배우자있음","","4781",
"종로구","50~54세","남자-사별","","78",
"종로구","50~54세","남자-이혼","","470",
"종로구","50~54세","여자(15세이상)-계","","5971",
"종로구","50~54세","여자-미혼","","344",
"종로구","50~54세","여자-배우자있음","","4650",
"종로구","50~54세","여자-사별","","369",
"종로구","50~54세","여자-이혼","","608",
"종로구","55~59세","내국인(15세이상)-계","","8949",
"종로구","55~59세","내국인-미혼","","438",
"종로구","55~59세","내국인-배우자있음","","7124",
"종로구","55~59세","내국인-사별","","636",
"종로구","55~59세","내국인-이혼","","751",
"종로구","55~59세","남자(15세이상)-계","","4323",
"종로구","55~59세","남자-미혼","","244",
"종로구","55~59세","남자-배우자있음","","3635",
"종로구","55~59세","남자-사별","","88",
"종로구","55~59세","남자-이혼","","356",
"종로구","55~59세","여자(15세이상)-계","","4626",
"종로구","55~59세","여자-미혼","","194",
"종로구","55~59세","여자-배우자있음","","3489",
"종로구","55~59세","여자-사별","","548",
"종로구","55~59세","여자-이혼","","395",
"종로구","60~64세","내국인(15세이상)-계","","7503",
"종로구","60~64세","내국인-미혼","","234",
"종로구","60~64세","내국인-배우자있음","","5764",
"종로구","60~64세","내국인-사별","","1016",
"종로구","60~64세","내국인-이혼","","489",
"종로구","60~64세","남자(15세이상)-계","","3442",
"종로구","60~64세","남자-미혼","","121",
"종로구","60~64세","남자-배우자있음","","2918",
"종로구","60~64세","남자-사별","","131",
"종로구","60~64세","남자-이혼","","272",
"종로구","60~64세","여자(15세이상)-계","","4061",
"종로구","60~64세","여자-미혼","","113",
"종로구","60~64세","여자-배우자있음","","2846",
"종로구","60~64세","여자-사별","","885",
"종로구","60~64세","여자-이혼","","217",
"종로구","65~69세","내국인(15세이상)-계","","6939",
"종로구","65~69세","내국인-미혼","","165",
"종로구","65~69세","내국인-배우자있음","","5012",
"종로구","65~69세","내국인-사별","","1393",
"종로구","65~69세","내국인-이혼","","369",
"종로구","65~69세","남자(15세이상)-계","","3166",
"종로구","65~69세","남자-미혼","","81",
"종로구","65~69세","남자-배우자있음","","2701",
