"성별","연령(5세)별","직업별(신)",2017
"계","계","계",285534
"계","계","관리자",4406
"계","계","전문가 및 관련 종사자",6357
"계","계","전문가",-
"계","계","기술공 및 준전문가",-
"계","계","사무 종사자",4346
"계","계","서비스 및 판매 종사자",10588
"계","계","농업,임업 및 어업 숙련종사자",26789
"계","계","기능원 및 관련기능종사자",3133
"계","계","장치,기계조작 및 조립종사자",2499
"계","계","단순노무 종사자",9296
"계","계","무직, 가사, 학생",199195
"계","계","기타",18925
"계","14세이하","계",1668
"계","14세이하","관리자",0
"계","14세이하","전문가 및 관련 종사자",0
"계","14세이하","전문가",-
"계","14세이하","기술공 및 준전문가",-
"계","14세이하","사무 종사자",0
"계","14세이하","서비스 및 판매 종사자",0
"계","14세이하","농업,임업 및 어업 숙련종사자",0
"계","14세이하","기능원 및 관련기능종사자",0
"계","14세이하","장치,기계조작 및 조립종사자",0
"계","14세이하","단순노무 종사자",0
"계","14세이하","무직, 가사, 학생",1575
"계","14세이하","기타",93
"계","15 - 19세","계",626
"계","15 - 19세","관리자",0
"계","15 - 19세","전문가 및 관련 종사자",1
"계","15 - 19세","전문가",-
"계","15 - 19세","기술공 및 준전문가",-
"계","15 - 19세","사무 종사자",6
"계","15 - 19세","서비스 및 판매 종사자",14
"계","15 - 19세","농업,임업 및 어업 숙련종사자",0
"계","15 - 19세","기능원 및 관련기능종사자",1
"계","15 - 19세","장치,기계조작 및 조립종사자",5
"계","15 - 19세","단순노무 종사자",7
"계","15 - 19세","무직, 가사, 학생",544
"계","15 - 19세","기타",48
"계","20 - 24세","계",1087
"계","20 - 24세","관리자",8
"계","20 - 24세","전문가 및 관련 종사자",25
"계","20 - 24세","전문가",-
"계","20 - 24세","기술공 및 준전문가",-
"계","20 - 24세","사무 종사자",36
"계","20 - 24세","서비스 및 판매 종사자",79
"계","20 - 24세","농업,임업 및 어업 숙련종사자",3
"계","20 - 24세","기능원 및 관련기능종사자",21
"계","20 - 24세","장치,기계조작 및 조립종사자",16
"계","20 - 24세","단순노무 종사자",34
"계","20 - 24세","무직, 가사, 학생",714
"계","20 - 24세","기타",151
"계","25 - 29세","계",1384
"계","25 - 29세","관리자",33
"계","25 - 29세","전문가 및 관련 종사자",118
"계","25 - 29세","전문가",-
"계","25 - 29세","기술공 및 준전문가",-
"계","25 - 29세","사무 종사자",146
"계","25 - 29세","서비스 및 판매 종사자",177
"계","25 - 29세","농업,임업 및 어업 숙련종사자",10
"계","25 - 29세","기능원 및 관련기능종사자",43
"계","25 - 29세","장치,기계조작 및 조립종사자",45
"계","25 - 29세","단순노무 종사자",61
"계","25 - 29세","무직, 가사, 학생",630
"계","25 - 29세","기타",121
"계","30 - 34세","계",1849
"계","30 - 34세","관리자",48
"계","30 - 34세","전문가 및 관련 종사자",175
"계","30 - 34세","전문가",-
"계","30 - 34세","기술공 및 준전문가",-
"계","30 - 34세","사무 종사자",222
"계","30 - 34세","서비스 및 판매 종사자",292
"계","30 - 34세","농업,임업 및 어업 숙련종사자",16
"계","30 - 34세","기능원 및 관련기능종사자",64
"계","30 - 34세","장치,기계조작 및 조립종사자",59
"계","30 - 34세","단순노무 종사자",85
"계","30 - 34세","무직, 가사, 학생",741
"계","30 - 34세","기타",147
"계","35 - 39세","계",3062
"계","35 - 39세","관리자",126
"계","35 - 39세","전문가 및 관련 종사자",279
"계","35 - 39세","전문가",-
"계","35 - 39세","기술공 및 준전문가",-
"계","35 - 39세","사무 종사자",354
"계","35 - 39세","서비스 및 판매 종사자",428
"계","35 - 39세","농업,임업 및 어업 숙련종사자",26
"계","35 - 39세","기능원 및 관련기능종사자",97
"계","35 - 39세","장치,기계조작 및 조립종사자",124
"계","35 - 39세","단순노무 종사자",178
"계","35 - 39세","무직, 가사, 학생",1246
"계","35 - 39세","기타",204
"계","40 - 44세","계",4680
"계","40 - 44세","관리자",232
