,0,1
서울특별시,서울특별시,0.542831178
서울특별시,종로구,0.500507591
서울특별시,중구,0.504101964
서울특별시,용산구,0.528713415
서울특별시,성동구,0.538642959
서울특별시,광진구,0.511735291
서울특별시,동대문구,0.515102394
서울특별시,중랑구,0.531990679
서울특별시,성북구,0.549414705
서울특별시,강북구,0.535222403
서울특별시,도봉구,0.568714922
서울특별시,노원구,0.564139389
서울특별시,은평구,0.553156499
서울특별시,서대문구,0.516115281
서울특별시,마포구,0.52407231
서울특별시,양천구,0.580455715
서울특별시,강서구,0.550766252
서울특별시,구로구,0.577753161
서울특별시,금천구,0.532638607
서울특별시,영등포구,0.564407116
서울특별시,동작구,0.520542537
서울특별시,관악구,0.474686099
서울특별시,서초구,0.580596772
서울특별시,강남구,0.530218171
서울특별시,송파구,0.571607356
서울특별시,강동구,0.558403846
부산광역시,부산광역시,0.554697609
부산광역시,동부,0.553565921
부산광역시,읍부,0.576491691
부산광역시,면부,0.629687176
부산광역시,중구,0.47690211
부산광역시,서구,0.506103059
부산광역시,동구,0.519474589
부산광역시,영도구,0.512529455
부산광역시,부산진구,0.533272303
부산광역시,동래구,0.569683185
부산광역시,남구,0.554882307
부산광역시,북구,0.568507805
부산광역시,해운대구,0.587164986
부산광역시,사하구,0.567943652
부산광역시,금정구,0.538694908
부산광역시,강서구,0.58540531
부산광역시,연제구,0.567632685
부산광역시,수영구,0.558976431
부산광역시,사상구,0.542969966
부산광역시,기장군,0.596380254
대구광역시,대구광역시,0.572383623
대구광역시,동부,0.568414852
대구광역시,읍부,0.64043021
대구광역시,면부,0.587204007
대구광역시,중구,0.504135694
대구광역시,동구,0.57210762
대구광역시,서구,0.528132053
대구광역시,남구,0.502654202
대구광역시,북구,0.58363747
대구광역시,수성구,0.598832451
대구광역시,달서구,0.575581907
대구광역시,달성군,0.628339638
인천광역시,인천광역시,0.568508751
인천광역시,동부,0.566124972
인천광역시,읍부,0.624438236
인천광역시,면부,0.65849334
인천광역시,중구,0.552396661
인천광역시,동구,0.561727796
인천광역시,남구,0.534116508
인천광역시,연수구,0.571717589
인천광역시,남동구,0.571234346
인천광역시,부평구,0.560869001
인천광역시,계양구,0.572898035
인천광역시,서구,0.597535601
인천광역시,강화군,0.648571772
인천광역시,옹진군,0.653377111
광주광역시,광주광역시,0.564455168
광주광역시,동구,0.492404803
광주광역시,서구,0.569356703
광주광역시,남구,0.558454181
광주광역시,북구,0.550137512
광주광역시,광산구,0.607903581
대전광역시,대전광역시,0.563888373
대전광역시,동구,0.524232462
대전광역시,중구,0.575967206
대전광역시,서구,0.566893083
대전광역시,유성구,0.580177499
대전광역시,대덕구,0.567828961
울산광역시,울산광역시,0.609753486
울산광역시,동부,0.607007177
울산광역시,읍부,0.647518691
울산광역시,면부,0.574335999
울산광역시,중구,0.583716201
울산광역시,남구,0.593394561
울산광역시,동구,0.617037206
울산광역시,북구,0.658513208
울산광역시,울주군,0.623140297
경기도,경기도,0.593570716
경기도,동부,0.589678336
경기도,읍부,0.633655862
경기도,면부,0.580405125
경기도,수원시,0.564327185
경기도,수원시 장안구,0.570267902
경기도,수원시 권선구,0.562770388
경기도,수원시 팔달구,0.525598314
경기도,수원시 영통구,0.593422603
경기도,성남시,0.566386651
경기도,성남시 수정구,0.515165448
경기도,성남시 중원구,0.522402883
경기도,성남시 분당구,0.617635427
경기도,의정부시,0.582222636
경기도,안양시,0.582245881
경기도,안양시 만안구,0.55438661
경기도,안양시 동안구,0.603800972
경기도,부천시,0.561464263
경기도,부천시 원미구,0.558741362
경기도,부천시 소사구,0.568090679
경기도,부천시 오정구,0.560048506
경기도,광명시,0.587394549
경기도,평택시,0.603105003
경기도,동두천시,0.579719226
경기도,안산시,0.557461175
경기도,안산시 상록구,0.553813313
경기도,안산시 단원구,0.56164667
경기도,고양시,0.597616787
경기도,고양시 덕양구,0.593271226
경기도,고양시 일산동구,0.575373748
