,0,1,2,3,4
2,서울특별시,종로구,0.0025170150215456486,0.0015730514504398228,0.0206
3,서울특별시,중구,0.0027334783133985746,0.0007119834288527453,0.011399999999999999
4,서울특별시,용산구,0.0015001409528412066,0.00046072247972728204,0.0040999999999999995
5,서울특별시,성동구,0.0021747009786154403,0.0010092237383542175,0.0069
6,서울특별시,광진구,0.0027334783133985746,0.0010579897266318028,0.0060999999999999995
7,서울특별시,동대문구,0.003045588176070235,0.0029487167578513243,0.0173
8,서울특별시,중랑구,0.002471708751157827,0.0013947072647389393,0.0073
9,서울특별시,성북구,0.0026428657726229312,0.0014518331367212537,0.0069
10,서울특별시,강북구,0.00225021142926181,0.0009474534865359428,0.0062
11,서울특별시,도봉구,0.001847489025814506,0.0013942428267553434,0.0087
12,서울특별시,노원구,0.00360939954089646,0.001814094763926173,0.006999999999999999
13,서울특별시,은평구,0.0031362007168458782,0.001528929841998198,0.0067
14,서울특별시,서대문구,0.0021747009786154403,0.0017439646284031693,0.0116
15,서울특별시,마포구,0.00360939954089646,0.0003353242241563484,0.0019
16,서울특별시,양천구,0.0031261326567596955,0.001280455520774311,0.0058
17,서울특별시,강서구,0.003911441343481938,0.0016292484464549449,0.0058
18,서울특별시,구로구,0.0028039547340018523,0.0018080570701394243,0.0088
19,서울특별시,금천구,0.0016612299142201282,0.0009451312966179626,0.008
20,서울특별시,영등포구,0.0036698079014135555,0.0026027104600722666,0.0139
21,서울특별시,동작구,0.0028190568241311265,0.0013306148230026844,0.006999999999999999
22,서울특별시,관악구,0.003387902219000443,0.001087249319598354,0.0045000000000000005
23,서울특별시,서초구,0.0061868229229592045,0.0016455037758808066,0.008
24,서울특별시,강남구,0.01288208288027063,0.0037535877834232794,0.0144
25,서울특별시,송파구,0.005567637227658974,0.0031010524164708287,0.009899999999999999
26,서울특별시,강동구,0.003830896862792477,0.0027573683086097515,0.013500000000000002
28,부산광역시,중구,0.0007097982360758729,0.0007793269364741726,0.0364
29,부산광역시,서구,0.0007249003262051468,0.0023458762551436508,0.0451
30,부산광역시,동구,0.0008608191373686118,0.0013877406949849987,0.0329
31,부산광역시,영도구,0.0007299343562482381,0.0007872223821953054,0.013500000000000002
32,부산광역시,부산진구,0.0038913052233095725,0.003224592920107378,0.018500000000000003
33,부산광역시,동래구,0.002300551729692723,0.002871155614590784,0.0227
34,부산광역시,남구,0.0017468084249526801,0.001603239919373566,0.0124
35,부산광역시,북구,0.0017820466352543192,0.0020881131742478427,0.0147
36,부산광역시,해운대구,0.0031865410172767913,0.002936641370277827,0.0152
37,부산광역시,사하구,0.0020790544077967056,0.0034749249932656493,0.022099999999999998
38,부산광역시,금정구,0.001726672304780315,0.002698384684693053,0.0233
39,부산광역시,강서구,0.00041279046353348634,0.00017834418570088337,0.0031
40,부산광역시,연제구,0.0017770126052112278,0.002384424607782123,0.024700000000000003
41,부산광역시,수영구,0.0014951069227981152,0.0020165897247740507,0.0239
42,부산광역시,사상구,0.00120313318029882,0.003046713172390091,0.027999999999999997
43,부산광역시,기장군,0.0008155128669807901,0.0009339847850116574,0.0123
45,대구광역시,중구,0.002164632918529258,0.0018777227676788318,0.0507
46,대구광역시,동구,0.002305585759735814,0.0018113081360245967,0.0111
47,대구광역시,서구,0.0013289839313761025,0.0017606843958126272,0.0195
48,대구광역시,남구,0.0011980991502557286,0.0020695356549040008,0.028900000000000002
49,대구광역시,북구,0.0027183762232693004,0.0029849429205718162,0.0144
50,대구광역시,수성구,0.0036144335709395515,0.0016729056169129735,0.008199999999999999
