,0,1
4,0.0872,0.531
5,0.04717,0.35
6,0.02318,0.095
7,0.03206,0.103
8,0.04338,0.117
9,0.06945,0.19
10,0.03966,0.096
11,0.04205,0.092
12,0.02644,0.081
13,0.02362,0.068
14,0.05865,0.105
15,0.02899,0.059
16,0.06871,0.211
17,0.02725,0.071
18,0.04736,0.1
19,0.05066,0.083
20,0.0517,0.117
21,0.02102,0.083
22,0.07321,0.182
23,0.05139,0.126
24,0.02823,0.054
25,0.09288,0.209
26,0.21038,0.375
27,0.11779,0.175
28,0.07434,0.169
30,0.01229,0.267
31,0.06634,0.593
32,0.02342,0.258
33,0.01288,0.103
34,0.07433,0.198
35,0.04573,0.168
36,0.02475,0.089
37,0.0341,0.112
38,0.05363,0.129
39,0.04193,0.124
40,0.02958,0.119
41,0.00447,0.036
42,0.02891,0.139
43,0.02864,0.158
44,0.03037,0.129
45,0.01351,0.082
47,0.06625,0.831
48,0.03409,0.097
49,0.02243,0.115
50,0.04477,0.291
51,0.04688,0.105
52,0.03706,0.084
53,0.06225,0.106
54,0.01339,0.054
56,0.02519,0.207
57,0.00878,0.125
58,0.045,0.105
59,0.0263,0.076
60,0.07021,0.128
61,0.06636,0.12
62,0.03379,0.103
63,0.05163,0.098
64,0.00497,0.071
65,0.00038,0.017
67,0.04594,0.475
68,0.0448,0.145
69,0.03814,0.173
70,0.04645,0.105
71,0.05363,0.129
73,0.02464,0.105
74,0.06021,0.24
75,0.0931,0.19
76,0.03459,0.098
77,0.0241,0.127
79,0.02154,0.089
80,0.05556,0.163
81,0.02781,0.161
82,0.00938,0.046
83,0.01609,0.071
86,0.14506,0.117
87,0.13789,0.14
88,0.05177,0.116
89,0.06111,0.103
90,0.11262,0.129
91,0.02681,0.079
92,0.03609,0.072
93,0.01132,0.113
94,0.08025,0.11
95,0.13169,0.125
96,0.00247,0.043
97,0.02817,0.14
98,0.04153,0.062
99,0.01643,0.074
100,0.0286,0.063
101,0.02412,0.084
102,0.00916,0.058
103,0.01129,0.048
104,0.07104,0.07
105,0.02568,0.057
106,0.01455,0.066
107,0.01215,0.063
108,0.02893,0.07
109,0.03316,0.046
110,0.01693,0.047
111,0.01235,0.056
112,0.0117,0.071
113,0.00605,0.052
114,0.00164,0.035
115,0.00489,0.076
116,0.00982,0.084
118,0.03929,0.138
119,0.0372,0.108
120,0.02513,0.116
121,0.00933,0.1
122,0.00421,0.091
123,0.00815,0.098
124,0.00549,0.079
125,0.00428,0.06
126,0.0015,0.032
127,0.00234,0.058
128,0.00154,0.035
129,0.0017,0.044
130,0.00249,0.052
131,0.00058,0.022
132,0.00141,0.059
133,0.00065,0.02
134,0.00043,0.014
135,0.00074,0.027
137,0.10189,0.12
138,0.02158,0.101
139,0.01456,0.106
140,0.00271,0.078
141,0.00519,0.099
142,0.00385,0.076
143,0.00192,0.05
144,0.00514,0.065
145,0.00171,0.043
146,0.00664,0.063
147,0.00104,0.034
149,0.08982,0.138
150,0.01422,0.129
151,0.00728,0.069
152,0.02669,0.081
153,0.01373,0.078
154,0.01693,0.134
155,0.00256,0.058
156,0.01342,0.078
157,0.00355,0.064
158,0.00487,0.069
159,0.00432,0.077
160,0.00168,0.05
161,0.01011,0.097
162,0.00621,0.075
163,0.00509,0.08
165,0.08229,0.125
166,0.03131,0.112
167,0.04468,0.146
168,0.01266,0.109
169,0.01199,0.142
170,0.01082,0.122
171,0.00918,0.093
172,0.00106,0.04
173,0.00193,0.077
174,0.00054,0.023
175,0.00292,0.096
176,0.00276,0.092
177,0.00642,0.105
178,0.00664,0.117
180,0.07058,0.297
181,0.05107,0.176
182,0.06873,0.244
183,0.02717,0.241
184,0.01877,0.119
185,0.00783,0.162
186,0.00455,0.149
187,0.00575,0.207
188,0.01275,0.189
189,0.01,0.226
190,0.0306,0.466
191,0.00574,0.141
192,0.00546,0.146
193,0.01456,0.194
194,0.00751,0.127
195,0.01131,0.134
196,0.00612,0.175
197,0.01193,0.214
198,0.00535,0.113
199,0.00527,0.098
200,0.00323,0.098
201,0.00416,0.097
203,0.07589,0.146
204,0.02679,0.1
205,0.01253,0.086
206,0.02216,0.132
207,0.03866,0.09
208,0.01245,0.114
209,0.01068,0.103
210,0.00666,0.065
211,0.00804,0.109
212,0.0256,0.095
213,0.00068,0.027
214,0.00391,0.072
215,0.0011,0.042
216,0.00034,0.019
217,0.00219,0.055
218,0.00408,0.092
219,0.00185,0.052
220,0.0037,0.079
221,0.00702,0.056
222,0.0033,0.066
223,0.00146,0.044
224,0.00301,0.058
225,7e-05,0.007
227,0.13402,0.125
228,0.05349,0.152
229,0.01492,0.107
230,0.01179,0.1
231,0.05961,0.108
232,0.00908,0.082
233,0.02139,0.081
234,0.04798,0.139
235,0.00228,0.08
236,0.00438,0.061
237,0.00677,0.102
238,0.00421,0.076
239,0.00234,0.051
240,0.00254,0.051
241,0.001,0.027
242,0.00207,0.051
243,0.00571,0.09
244,0.00276,0.058
246,0.05956,0.121
247,0.01113,0.06
